condition,step,quantity,bin_idx,bin_low,bin_high,bin_center,count
no_noise,1845,B,37,0.0799769,0.0865071,0.083242,173
no_noise,1845,B,38,0.0865071,0.0930372,0.0897721,142
no_noise,1845,B,39,0.0930372,0.0995674,0.0963023,84
no_noise,1845,B,40,0.0995674,0.106098,0.102833,47
no_noise,1845,B,41,0.106098,0.112628,0.109363,34
no_noise,1845,B,42,0.112628,0.119158,0.115893,20
no_noise,1845,B,43,0.119158,0.125688,0.122423,17
no_noise,1845,B,44,0.125688,0.132218,0.128953,14
no_noise,1845,B,45,0.132218,0.138748,0.135483,1
no_noise,1845,B,46,0.138748,0.145279,0.142014,4
no_noise,1845,B,47,0.145279,0.151809,0.148544,1
no_noise,1845,B,48,0.151809,0.158339,0.155074,1
no_noise,1845,B,49,0.158339,0.164869,0.161604,1
no_noise,1845,C_eff,0,-0.524917,-0.505355,-0.515136,1
no_noise,1845,C_eff,1,-0.505355,-0.485792,-0.495573,0
no_noise,1845,C_eff,2,-0.485792,-0.46623,-0.476011,0
no_noise,1845,C_eff,3,-0.46623,-0.446667,-0.456448,1
no_noise,1845,C_eff,4,-0.446667,-0.427104,-0.436886,3
no_noise,1845,C_eff,5,-0.427104,-0.407542,-0.417323,2
no_noise,1845,C_eff,6,-0.407542,-0.387979,-0.39776,3
no_noise,1845,C_eff,7,-0.387979,-0.368417,-0.378198,2
no_noise,1845,C_eff,8,-0.368417,-0.348854,-0.358635,6
no_noise,1845,C_eff,9,-0.348854,-0.329291,-0.339073,4
no_noise,1845,C_eff,10,-0.329291,-0.309729,-0.31951,7
no_noise,1845,C_eff,11,-0.309729,-0.290166,-0.299947,6
no_noise,1845,C_eff,12,-0.290166,-0.270604,-0.280385,3
no_noise,1845,C_eff,13,-0.270604,-0.251041,-0.260822,8
no_noise,1845,C_eff,14,-0.251041,-0.231478,-0.24126,19
no_noise,1845,C_eff,15,-0.231478,-0.211916,-0.221697,35
no_noise,1845,C_eff,16,-0.211916,-0.192353,-0.202134,44
no_noise,1845,C_eff,17,-0.192353,-0.172791,-0.182572,90
no_noise,1845,C_eff,18,-0.172791,-0.153228,-0.163009,256
no_noise,1845,C_eff,19,-0.153228,-0.133665,-0.143447,747
no_noise,1845,C_eff,20,-0.133665,-0.114103,-0.123884,2161
no_noise,1845,C_eff,21,-0.114103,-0.0945402,-0.104321,5752
no_noise,1845,C_eff,22,-0.0945402,-0.0749776,-0.0847589,14596
no_noise,1845,C_eff,23,-0.0749776,-0.055415,-0.0651963,31905
no_noise,1845,C_eff,24,-0.055415,-0.0358524,-0.0456337,58822
no_noise,1845,C_eff,25,-0.0358524,-0.0162898,-0.0260711,89839
no_noise,1845,C_eff,26,-0.0162898,0.00327283,-0.00650847,109401
no_noise,1845,C_eff,27,0.00327283,0.0228354,0.0130541,104477
no_noise,1845,C_eff,28,0.0228354,0.042398,0.0326167,79978
no_noise,1845,C_eff,29,0.042398,0.0619606,0.0521793,49233
no_noise,1845,C_eff,30,0.0619606,0.0815232,0.0717419,25049
no_noise,1845,C_eff,31,0.0815232,0.101086,0.0913045,10679
no_noise,1845,C_eff,32,0.101086,0.120648,0.110867,4266
no_noise,1845,C_eff,33,0.120648,0.140211,0.13043,1495
no_noise,1845,C_eff,34,0.140211,0.159774,0.149992,562
no_noise,1845,C_eff,35,0.159774,0.179336,0.169555,191
no_noise,1845,C_eff,36,0.179336,0.198899,0.189118,71
no_noise,1845,C_eff,37,0.198899,0.218461,0.20868,29
no_noise,1845,C_eff,38,0.218461,0.238024,0.228243,14
no_noise,1845,C_eff,39,0.238024,0.257587,0.247805,22
no_noise,1845,C_eff,40,0.257587,0.277149,0.267368,8
no_noise,1845,C_eff,41,0.277149,0.296712,0.286931,10
no_noise,1845,C_eff,42,0.296712,0.316274,0.306493,6
no_noise,1845,C_eff,43,0.316274,0.335837,0.326056,7
no_noise,1845,C_eff,44,0.335837,0.3554,0.345618,7
no_noise,1845,C_eff,45,0.3554,0.374962,0.365181,1
no_noise,1845,C_eff,46,0.374962,0.394525,0.384744,1
no_noise,1845,C_eff,47,0.394525,0.414087,0.404306,2
no_noise,1845,C_eff,48,0.414087,0.43365,0.423869,1
no_noise,1845,C_eff,49,0.43365,0.453213,0.443431,2
no_noise,3689,A,0,-0.157277,-0.151125,-0.154201,2
no_noise,3689,A,1,-0.151125,-0.144973,-0.148049,1
no_noise,3689,A,2,-0.144973,-0.138821,-0.141897,2
no_noise,3689,A,3,-0.138821,-0.132669,-0.135745,5
no_noise,3689,A,4,-0.132669,-0.126517,-0.129593,10
no_noise,3689,A,5,-0.126517,-0.120366,-0.123442,10
no_noise,3689,A,6,-0.120366,-0.114214,-0.11729,18
no_noise,3689,A,7,-0.114214,-0.108062,-0.111138,37
no_noise,3689,A,8,-0.108062,-0.10191,-0.104986,43
no_noise,3689,A,9,-0.10191,-0.0957579,-0.0988338,65
no_noise,3689,A,10,-0.0957579,-0.089606,-0.0926819,109
no_noise,3689,A,11,-0.089606,-0.083454,-0.08653,150
no_noise,3689,A,12,-0.083454,-0.0773021,-0.0803781,184
no_noise,3689,A,13,-0.0773021,-0.0711502,-0.0742262,270
no_noise,3689,A,14,-0.0711502,-0.0649983,-0.0680742,319
no_noise,3689,A,15,-0.0649983,-0.0588464,-0.0619223,469
no_noise,3689,A,16,-0.0588464,-0.0526944,-0.0557704,557
no_noise,3689,A,17,-0.0526944,-0.0465425,-0.0496185,723
no_noise,3689,A,18,-0.0465425,-0.0403906,-0.0434666,836
no_noise,3689,A,19,-0.0403906,-0.0342387,-0.0373147,1013
no_noise,3689,A,20,-0.0342387,-0.0280868,-0.0311627,1085
no_noise,3689,A,21,-0.0280868,-0.0219349,-0.0250108,1240
no_noise,3689,A,22,-0.0219349,-0.0157829,-0.0188589,1300
no_noise,3689,A,23,-0.0157829,-0.00963102,-0.012707,1521
no_noise,3689,A,24,-0.00963102,-0.0034791,-0.00655506,1469
no_noise,3689,A,25,-0.0034791,0.00267282,-0.000403142,1513
no_noise,3689,A,26,0.00267282,0.00882474,0.00574878,1520
no_noise,3689,A,27,0.00882474,0.0149767,0.0119007,1423
no_noise,3689,A,28,0.0149767,0.0211286,0.0180526,1303
no_noise,3689,A,29,0.0211286,0.0272805,0.0242045,1280
no_noise,3689,A,30,0.0272805,0.0334324,0.0303565,1105
no_noise,3689,A,31,0.0334324,0.0395843,0.0365084,940
no_noise,3689,A,32,0.0395843,0.0457362,0.0426603,906
no_noise,3689,A,33,0.0457362,0.0518882,0.0488122,756
no_noise,3689,A,34,0.0518882,0.0580401,0.0549641,560
no_noise,3689,A,35,0.0580401,0.064192,0.061116,470
no_noise,3689,A,36,0.064192,0.0703439,0.067268,374
no_noise,3689,A,37,0.0703439,0.0764958,0.0734199,262
no_noise,3689,A,38,0.0764958,0.0826478,0.0795718,229
no_noise,3689,A,39,0.0826478,0.0887997,0.0857237,159
no_noise,3689,A,40,0.0887997,0.0949516,0.0918756,120
no_noise,3689,A,41,0.0949516,0.101104,0.0980276,68
no_noise,3689,A,42,0.101104,0.107255,0.104179,50
no_noise,3689,A,43,0.107255,0.113407,0.110331,32
no_noise,3689,A,44,0.113407,0.119559,0.116483,26
no_noise,3689,A,45,0.119559,0.125711,0.122635,18
no_noise,3689,A,46,0.125711,0.131863,0.128787,8
no_noise,3689,A,47,0.131863,0.138015,0.134939,6
no_noise,3689,A,48,0.138015,0.144167,0.141091,6
no_noise,3689,A,49,0.144167,0.150319,0.147243,4
no_noise,3689,B,0,-0.168802,-0.162012,-0.165407,1
no_noise,3689,B,1,-0.162012,-0.155222,-0.158617,2
no_noise,3689,B,2,-0.155222,-0.148432,-0.151827,1
no_noise,3689,B,3,-0.148432,-0.141642,-0.145037,4
no_noise,3689,B,4,-0.141642,-0.134852,-0.138247,4
no_noise,3689,B,5,-0.134852,-0.128062,-0.131457,4
no_noise,3689,B,6,-0.128062,-0.121273,-0.124668,11
no_noise,3689,B,7,-0.121273,-0.114483,-0.117878,26
no_noise,3689,B,8,-0.114483,-0.107693,-0.111088,36
no_noise,3689,B,9,-0.107693,-0.100903,-0.104298,64
no_noise,3689,B,10,-0.100903,-0.0941132,-0.0975081,73
no_noise,3689,B,11,-0.0941132,-0.0873233,-0.0907182,126
no_noise,3689,B,12,-0.0873233,-0.0805334,-0.0839284,195
no_noise,3689,B,13,-0.0805334,-0.0737436,-0.0771385,279
no_noise,3689,B,14,-0.0737436,-0.0669537,-0.0703486,332
no_noise,3689,B,15,-0.0669537,-0.0601638,-0.0635588,450
no_noise,3689,B,16,-0.0601638,-0.053374,-0.0567689,612
no_noise,3689,B,17,-0.053374,-0.0465841,-0.049979,745
no_noise,3689,B,18,-0.0465841,-0.0397942,-0.0431892,935
no_noise,3689,B,19,-0.0397942,-0.0330044,-0.0363993,1078
no_noise,3689,B,20,-0.0330044,-0.0262145,-0.0296094,1257
no_noise,3689,B,21,-0.0262145,-0.0194246,-0.0228196,1441
no_noise,3689,B,22,-0.0194246,-0.0126348,-0.0160297,1544
no_noise,3689,B,23,-0.0126348,-0.00584491,-0.00923985,1586
no_noise,3689,B,24,-0.00584491,0.00094495,-0.00244998,1672
no_noise,3689,B,25,0.00094495,0.00773481,0.00433988,1629
no_noise,3689,B,26,0.00773481,0.0145247,0.0111297,1653
no_noise,3689,B,27,0.0145247,0.0213145,0.0179196,1534
no_noise,3689,B,28,0.0213145,0.0281044,0.0247095,1411
no_noise,3689,B,29,0.0281044,0.0348943,0.0314993,1191
no_noise,3689,B,30,0.0348943,0.0416841,0.0382892,1049
no_noise,3689,B,31,0.0416841,0.048474,0.0450791,857
no_noise,3689,B,32,0.048474,0.0552639,0.0518689,708
no_noise,3689,B,33,0.0552639,0.0620537,0.0586588,581
no_noise,3689,B,34,0.0620537,0.0688436,0.0654487,434
no_noise,3689,B,35,0.0688436,0.0756335,0.0722385,333
no_noise,3689,B,36,0.0756335,0.0824233,0.0790284,249
no_noise,3689,B,37,0.0824233,0.0892132,0.0858183,160
no_noise,3689,B,38,0.0892132,0.0960031,0.0926081,113
no_noise,3689,B,39,0.0960031,0.102793,0.099398,57
no_noise,3689,B,40,0.102793,0.109583,0.106188,51
no_noise,3689,B,41,0.109583,0.116373,0.112978,38
no_noise,3689,B,42,0.116373,0.123163,0.119768,26
no_noise,3689,B,43,0.123163,0.129952,0.126557,8
no_noise,3689,B,44,0.129952,0.136742,0.133347,6
no_noise,3689,B,45,0.136742,0.143532,0.140137,5
no_noise,3689,B,46,0.143532,0.150322,0.146927,3
no_noise,3689,B,47,0.150322,0.157112,0.153717,1
no_noise,3689,B,48,0.157112,0.163902,0.160507,0
no_noise,3689,B,49,0.163902,0.170692,0.167297,1
no_noise,3689,C_eff,0,-0.523892,-0.504368,-0.51413,1
no_noise,3689,C_eff,1,-0.504368,-0.484844,-0.494606,0
no_noise,3689,C_eff,2,-0.484844,-0.465319,-0.475081,0
no_noise,3689,C_eff,3,-0.465319,-0.445795,-0.455557,1
no_noise,3689,C_eff,4,-0.445795,-0.42627,-0.436033,3
no_noise,3689,C_eff,5,-0.42627,-0.406746,-0.416508,2
no_noise,3689,C_eff,6,-0.406746,-0.387222,-0.396984,2
no_noise,3689,C_eff,7,-0.387222,-0.367697,-0.37746,3
no_noise,3689,C_eff,8,-0.367697,-0.348173,-0.357935,6
no_noise,3689,C_eff,9,-0.348173,-0.328649,-0.338411,4
no_noise,3689,C_eff,10,-0.328649,-0.309124,-0.318886,6
no_noise,3689,C_eff,11,-0.309124,-0.2896,-0.299362,7
no_noise,3689,C_eff,12,-0.2896,-0.270076,-0.279838,3
no_noise,3689,C_eff,13,-0.270076,-0.250551,-0.260313,8
no_noise,3689,C_eff,14,-0.250551,-0.231027,-0.240789,17
no_noise,3689,C_eff,15,-0.231027,-0.211502,-0.221265,37
no_noise,3689,C_eff,16,-0.211502,-0.191978,-0.20174,51
no_noise,3689,C_eff,17,-0.191978,-0.172454,-0.182216,84
no_noise,3689,C_eff,18,-0.172454,-0.152929,-0.162692,244
no_noise,3689,C_eff,19,-0.152929,-0.133405,-0.143167,784
no_noise,3689,C_eff,20,-0.133405,-0.113881,-0.123643,2268
