condition,step,erank_A,erank_B,erank_AB,erank_C
no_noise,5042,31.7685,31.7356,31.3483,546.235
no_noise,5052,31.765,31.7357,31.3423,546.234
no_noise,5062,31.7645,31.7318,31.3332,546.24
no_noise,5072,31.769,31.7289,31.3446,546.253
no_noise,5082,31.7719,31.722,31.3396,546.263
no_noise,5092,31.7761,31.7334,31.3669,546.273
no_noise,5102,31.7791,31.7358,31.3707,546.278
no_noise,5112,31.775,31.7382,31.3708,546.279
no_noise,5122,31.7754,31.7279,31.3528,546.28
no_noise,5132,31.7759,31.7324,31.3581,546.286
no_noise,5142,31.7763,31.7331,31.3599,546.294
no_noise,5152,31.7758,31.7309,31.3564,546.297
no_noise,5162,31.7716,31.7261,31.3349,546.302
no_noise,5172,31.7711,31.7257,31.3257,546.304
no_noise,5182,31.766,31.7289,31.3202,546.31
no_noise,5192,31.7732,31.7317,31.3361,546.314
no_noise,5202,31.7756,31.7329,31.3436,546.321
no_noise,5212,31.7737,31.7282,31.3321,546.318
no_noise,5222,31.7749,31.7297,31.3311,546.326
no_noise,5232,31.776,31.7294,31.3332,546.328
