condition,step,erank_A,erank_B,erank_AB,erank_C
no_noise,1742,30.2216,30.5338,26.1531,599.56
no_noise,1752,30.202,30.5143,26.0885,599.569
no_noise,1762,30.1884,30.5199,26.02,599.566
no_noise,1772,30.2144,30.5039,26.1087,599.57
no_noise,1782,30.2831,30.5344,26.4278,599.57
no_noise,1792,30.3067,30.4988,26.4229,599.566
no_noise,1802,30.315,30.5565,26.7144,599.57
no_noise,1812,30.2939,30.5836,26.7526,599.578
no_noise,1822,30.3364,30.5777,26.8091,599.589
no_noise,1832,30.312,30.5662,26.7076,599.588
no_noise,1842,30.3109,30.5019,26.45,599.589
no_noise,1852,30.3118,30.4961,26.4763,599.6
no_noise,1862,30.3445,30.4148,26.3173,599.602
no_noise,1872,30.3687,30.4348,26.4445,599.609
no_noise,1882,30.3929,30.3727,26.4161,599.617
no_noise,1892,30.3324,30.3422,26.0398,599.621
no_noise,1902,30.3387,30.3277,26.1032,599.622
no_noise,1912,30.3157,30.2799,25.8907,599.619
no_noise,1922,30.3992,30.3055,26.2393,599.619
no_noise,1932,30.3644,30.2346,25.9561,599.628
no_noise,1942,30.3807,30.2144,25.9465,599.619
no_noise,1952,30.3959,30.289,26.1325,599.624
no_noise,1962,30.3842,30.4242,26.4369,599.625
no_noise,1972,30.287,30.3342,25.9068,599.627
no_noise,1982,30.3532,30.428,26.4636,599.628
no_noise,1992,30.4081,30.3803,26.5216,599.63
no_noise,2002,30.4732,30.4116,26.7367,599.627
no_noise,2012,30.4893,30.373,26.7845,599.624
no_noise,2022,30.5457,30.3406,26.7614,599.627
no_noise,2032,30.5324,30.368,26.7898,599.626
no_noise,2042,30.575,30.3491,26.7978,599.626
no_noise,2052,30.5775,30.3113,26.7058,599.62
no_noise,2062,30.5579,30.2916,26.5583,599.631
no_noise,2072,30.5149,30.2712,26.2631,599.635
no_noise,2082,30.5393,30.2991,26.5111,599.636
no_noise,2092,30.5757,30.2782,26.6218,599.636
no_noise,2102,30.4994,30.2243,26.0196,599.635
no_noise,2112,30.5477,30.2712,26.3063,599.638
no_noise,2122,30.5499,30.2552,26.3313,599.636
no_noise,2132,30.5042,30.3224,26.4027,599.635
no_noise,2142,30.4749,30.3234,26.2934,599.636
no_noise,2152,30.5387,30.3295,26.4983,599.642
no_noise,2162,30.5596,30.346,26.6789,599.633
no_noise,2172,30.5187,30.3492,26.4964,599.637
no_noise,2182,30.5477,30.4173,26.8423,599.628
no_noise,2192,30.5632,30.4239,26.8581,599.631
no_noise,2202,30.5793,30.4686,27.0358,599.628
no_noise,2212,30.6022,30.5304,27.2401,599.623
no_noise,2222,30.6304,30.5539,27.3946,599.625
no_noise,2232,30.6386,30.5883,27.5255,599.629
no_noise,2242,30.5913,30.5903,27.4237,599.641
no_noise,2252,30.5541,30.543,27.1326,599.636
no_noise,2262,30.5987,30.5678,27.3249,599.636
no_noise,2272,30.6098,30.5534,27.4184,599.639
no_noise,2282,30.5802,30.5675,27.3232,599.641
no_noise,2292,30.5893,30.5272,27.2844,599.644
no_noise,2302,30.5828,30.5338,27.3512,599.643
no_noise,2312,30.6236,30.4939,27.3288,599.644
no_noise,2322,30.6025,30.4927,27.3718,599.649
no_noise,2332,30.6081,30.4806,27.3884,599.654
no_noise,2342,30.5947,30.4715,27.2578,599.66
no_noise,2352,30.521,30.4434,27.0145,599.667
no_noise,2362,30.5267,30.4211,26.9138,599.669
no_noise,2372,30.5084,30.389,26.7857,599.668
no_noise,2382,30.4993,30.2565,26.5049,599.673
no_noise,2392,30.478,30.232,26.4447,599.67
no_noise,2402,30.5419,30.1449,26.5837,599.678
