condition,step,quantity,bin_idx,bin_low,bin_high,bin_center,count
no_noise,1,C_eff,15,-0.15908,-0.14883,-0.153955,25
no_noise,1,C_eff,16,-0.14883,-0.13858,-0.143705,58
no_noise,1,C_eff,17,-0.13858,-0.12833,-0.133455,126
no_noise,1,C_eff,18,-0.12833,-0.11808,-0.123205,302
no_noise,1,C_eff,19,-0.11808,-0.10783,-0.112955,711
no_noise,1,C_eff,20,-0.10783,-0.0975799,-0.102705,1416
no_noise,1,C_eff,21,-0.0975799,-0.0873299,-0.0924549,2921
no_noise,1,C_eff,22,-0.0873299,-0.0770799,-0.0822049,5405
no_noise,1,C_eff,23,-0.0770799,-0.0668299,-0.0719549,9404
no_noise,1,C_eff,24,-0.0668299,-0.0565799,-0.0617049,15758
no_noise,1,C_eff,25,-0.0565799,-0.0463299,-0.0514549,24379
no_noise,1,C_eff,26,-0.0463299,-0.0360799,-0.0412049,34540
no_noise,1,C_eff,27,-0.0360799,-0.0258298,-0.0309549,46023
no_noise,1,C_eff,28,-0.0258298,-0.0155798,-0.0207048,55945
no_noise,1,C_eff,29,-0.0155798,-0.00532983,-0.0104548,63660
no_noise,1,C_eff,30,-0.00532983,0.00492018,-0.000204825,66021
no_noise,1,C_eff,31,0.00492018,0.0151702,0.0100452,63493
no_noise,1,C_eff,32,0.0151702,0.0254202,0.0202952,56709
no_noise,1,C_eff,33,0.0254202,0.0356702,0.0305452,46267
no_noise,1,C_eff,34,0.0356702,0.0459202,0.0407952,34898
no_noise,1,C_eff,35,0.0459202,0.0561702,0.0510452,24605
no_noise,1,C_eff,36,0.0561702,0.0664202,0.0612952,16197
no_noise,1,C_eff,37,0.0664202,0.0766702,0.0715452,9675
no_noise,1,C_eff,38,0.0766702,0.0869202,0.0817952,5647
no_noise,1,C_eff,39,0.0869202,0.0971703,0.0920453,2936
no_noise,1,C_eff,40,0.0971703,0.10742,0.102295,1477
no_noise,1,C_eff,41,0.10742,0.11767,0.112545,680
no_noise,1,C_eff,42,0.11767,0.12792,0.122795,320
no_noise,1,C_eff,43,0.12792,0.13817,0.133045,124
no_noise,1,C_eff,44,0.13817,0.14842,0.143295,47
no_noise,1,C_eff,45,0.14842,0.15867,0.153545,20
no_noise,1,C_eff,46,0.15867,0.16892,0.163795,12
no_noise,1,C_eff,47,0.16892,0.17917,0.174045,1
no_noise,1,C_eff,48,0.17917,0.18942,0.184295,2
no_noise,1,C_eff,49,0.18942,0.19967,0.194545,4
no_noise,1845,A,0,-0.156815,-0.150796,-0.153805,2
no_noise,1845,A,1,-0.150796,-0.144777,-0.147787,1
no_noise,1845,A,2,-0.144777,-0.138758,-0.141768,0
no_noise,1845,A,3,-0.138758,-0.13274,-0.135749,5
no_noise,1845,A,4,-0.13274,-0.126721,-0.12973,5
no_noise,1845,A,5,-0.126721,-0.120702,-0.123711,9
no_noise,1845,A,6,-0.120702,-0.114683,-0.117692,8
no_noise,1845,A,7,-0.114683,-0.108664,-0.111674,24
no_noise,1845,A,8,-0.108664,-0.102645,-0.105655,31
no_noise,1845,A,9,-0.102645,-0.0966266,-0.099636,57
no_noise,1845,A,10,-0.0966266,-0.0906078,-0.0936172,73
no_noise,1845,A,11,-0.0906078,-0.0845889,-0.0875983,126
no_noise,1845,A,12,-0.0845889,-0.0785701,-0.0815795,160
no_noise,1845,A,13,-0.0785701,-0.0725513,-0.0755607,233
no_noise,1845,A,14,-0.0725513,-0.0665325,-0.0695419,309
no_noise,1845,A,15,-0.0665325,-0.0605136,-0.063523,383
no_noise,1845,A,16,-0.0605136,-0.0544948,-0.0575042,497
no_noise,1845,A,17,-0.0544948,-0.048476,-0.0514854,666
no_noise,1845,A,18,-0.048476,-0.0424571,-0.0454666,750
no_noise,1845,A,19,-0.0424571,-0.0364383,-0.0394477,913
no_noise,1845,A,20,-0.0364383,-0.0304195,-0.0334289,1026
no_noise,1845,A,21,-0.0304195,-0.0244007,-0.0274101,1207
no_noise,1845,A,22,-0.0244007,-0.0183818,-0.0213913,1295
no_noise,1845,A,23,-0.0183818,-0.012363,-0.0153724,1459
no_noise,1845,A,24,-0.012363,-0.00634419,-0.0093536,1517
no_noise,1845,A,25,-0.00634419,-0.000325366,-0.00333478,1555
no_noise,1845,A,26,-0.000325366,0.00569346,0.00268405,1583
no_noise,1845,A,27,0.00569346,0.0117123,0.00870287,1477
no_noise,1845,A,28,0.0117123,0.0177311,0.0147217,1363
no_noise,1845,A,29,0.0177311,0.0237499,0.0207405,1290
no_noise,1845,A,30,0.0237499,0.0297688,0.0267594,1238
no_noise,1845,A,31,0.0297688,0.0357876,0.0327782,1051
no_noise,1845,A,32,0.0357876,0.0418064,0.038797,933
no_noise,1845,A,33,0.0418064,0.0478252,0.0448158,830
no_noise,1845,A,34,0.0478252,0.0538441,0.0508347,601
no_noise,1845,A,35,0.0538441,0.0598629,0.0568535,484
no_noise,1845,A,36,0.0598629,0.0658817,0.0628723,403
no_noise,1845,A,37,0.0658817,0.0719005,0.0688911,295
no_noise,1845,A,38,0.0719005,0.0779194,0.07491,209
no_noise,1845,A,39,0.0779194,0.0839382,0.0809288,155
no_noise,1845,A,40,0.0839382,0.089957,0.0869476,125
no_noise,1845,A,41,0.089957,0.0959759,0.0929664,72
no_noise,1845,A,42,0.0959759,0.101995,0.0989853,59
no_noise,1845,A,43,0.101995,0.108014,0.105004,34
no_noise,1845,A,44,0.108014,0.114032,0.111023,24
no_noise,1845,A,45,0.114032,0.120051,0.117042,18
no_noise,1845,A,46,0.120051,0.12607,0.123061,11
no_noise,1845,A,47,0.12607,0.132089,0.129079,3
no_noise,1845,A,48,0.132089,0.138108,0.135098,3
no_noise,1845,A,49,0.138108,0.144126,0.141117,4
no_noise,1845,B,0,-0.153258,-0.147417,-0.150338,2
no_noise,1845,B,1,-0.147417,-0.141576,-0.144496,0
no_noise,1845,B,2,-0.141576,-0.135734,-0.138655,1
no_noise,1845,B,3,-0.135734,-0.129893,-0.132813,5
no_noise,1845,B,4,-0.129893,-0.124051,-0.126972,5
no_noise,1845,B,5,-0.124051,-0.11821,-0.121131,5
no_noise,1845,B,6,-0.11821,-0.112369,-0.115289,12
no_noise,1845,B,7,-0.112369,-0.106527,-0.109448,29
no_noise,1845,B,8,-0.106527,-0.100686,-0.103607,42
no_noise,1845,B,9,-0.100686,-0.0948445,-0.0977652,50
no_noise,1845,B,10,-0.0948445,-0.0890032,-0.0919239,69
no_noise,1845,B,11,-0.0890032,-0.0831618,-0.0860825,120
no_noise,1845,B,12,-0.0831618,-0.0773204,-0.0802411,150
no_noise,1845,B,13,-0.0773204,-0.071479,-0.0743997,207
no_noise,1845,B,14,-0.071479,-0.0656377,-0.0685584,251
no_noise,1845,B,15,-0.0656377,-0.0597963,-0.062717,388
no_noise,1845,B,16,-0.0597963,-0.0539549,-0.0568756,467
no_noise,1845,B,17,-0.0539549,-0.0481136,-0.0510342,581
no_noise,1845,B,18,-0.0481136,-0.0422722,-0.0451929,703
no_noise,1845,B,19,-0.0422722,-0.0364308,-0.0393515,861
no_noise,1845,B,20,-0.0364308,-0.0305894,-0.0335101,980
no_noise,1845,B,21,-0.0305894,-0.0247481,-0.0276688,1183
no_noise,1845,B,22,-0.0247481,-0.0189067,-0.0218274,1392
no_noise,1845,B,23,-0.0189067,-0.0130653,-0.015986,1445
no_noise,1845,B,24,-0.0130653,-0.00722395,-0.0101446,1558
no_noise,1845,B,25,-0.00722395,-0.00138258,-0.00430326,1565
no_noise,1845,B,26,-0.00138258,0.0044588,0.00153811,1533
no_noise,1845,B,27,0.0044588,0.0103002,0.00737948,1536
no_noise,1845,B,28,0.0103002,0.0161415,0.0132209,1482
