trial,learning_rate,transfer_lr,transfer_every,fast_lr,auto_granularity,in_chop_prob,initial_accuracy,final_accuracy,improvement,initial_loss,final_loss,status
31,0.0005706668335642761,0.9824572547978077,33,0.4344011221841979,190.44833434548485,0.0211967992078415,0.4908256880733945,0.6330275229357798,0.1422018348623853,2308189.5779816513,0.6506332191852254,completed
32,0.0012032750637402641,1.086322811617586,32,0.43579964646391645,124.67800886114415,0.01038740793819812,0.4908256880733945,,,2316156.981651376,,pruned
33,0.0004768034617733824,1.3201068434517609,18,0.5302559615052965,247.78822152200522,0.00033089747815725004,0.4908256880733945,,,2323297.2981651374,,pruned
34,0.00030808564205470323,1.5759651855257464,58,0.2207254962470293,168.40335554217097,0.018807273752217107,0.4908256880733945,,,2318395.756880734,,pruned
35,0.00016574501996206978,0.6088793180719758,10,0.6028559206328794,338.2288471634014,0.026946286246570045,0.4908256880733945,,,2308593.027522936,,pruned
36,0.0006379425718956064,0.8762068143222389,20,0.7554914463398674,530.7200071870018,0.00846882942519579,0.4908256880733945,0.6181192660550459,0.12729357798165136,2316380.5045871558,0.6489197491505824,completed
37,0.013699155313810342,0.8325685177762363,22,0.7805134551957069,1198.6889418963772,0.03737345375556175,0.4908256880733945,,,2331370.472477064,,pruned
38,0.002134561973970938,0.5947404560166214,14,0.9075936544184504,105.34023961392685,0.005291168760280553,0.4908256880733945,,,2331195.0321100918,,pruned
39,0.0012048441099193922,1.152248176680882,45,0.8059897738236915,136.93845089245147,0.060024116475138604,0.4908256880733945,0.6020642201834863,0.11123853211009177,2330178.623853211,0.6578452379331676,completed
40,0.003817522152447598,0.9059751480848346,12,0.6966930729961041,289.7646649375175,0.04760495123444289,0.4908256880733945,,,2313219.752293578,,pruned
41,0.0013876716410572527,1.1692112143614044,44,0.9877361907283746,219.51489555978767,0.05793283240907278,0.4908256880733945,0.6444954128440367,0.15366972477064217,2325498.9954128442,0.6323069246537095,completed
42,0.0006452814510828828,1.212315676555936,51,0.9995800741786879,191.20312604768841,0.07606299613850967,0.4908256880733945,0.6571100917431193,0.1662844036697248,2307520.0940366974,0.626193861895745,completed
43,0.0002648182977184566,1.2023370722032631,70,0.9750608812867094,200.22518348202195,0.07973190856288474,0.4908256880733945,0.6043577981651376,0.11353211009174308,2289127.628440367,0.6534100842038426,completed
44,0.00043941151291835553,1.529973721231554,100,0.9269567030901298,150.36896754443936,0.09841318447822041,0.4908256880733945,0.6502293577981652,0.15940366972477066,2313703.7339449544,0.6245666583743664,completed
45,0.0016315527777738155,1.5965001815526418,88,0.9372143078710304,136.45857007027175,0.0930595224777406,0.4908256880733945,0.5940366972477065,0.10321100917431197,2319367.410550459,0.6575330632542251,completed
46,0.0009611415792049891,1.692023543842721,55,0.9950086969853712,232.52324025904292,0.09919564653632487,0.4908256880733945,,,2331591.626146789,,pruned
47,0.0024203826689667344,1.4921536103008233,75,0.8705002212737296,159.44580301353074,0.07786203576797723,0.4908256880733945,,,2327310.0711009176,,pruned
48,0.0003710151386542987,1.3621885301255146,100,0.9255325525396981,107.08904025628765,0.07057770184270386,0.4908256880733945,0.7052752293577982,0.2144495412844037,2325970.0733944955,0.5598975469213013,completed
49,0.000358642486363519,1.3776690579036,93,0.847636056390934,101.37878134108317,0.073247576454676,0.4908256880733945,0.6502293577981652,0.15940366972477066,2316721.4036697247,0.6138318170101271,completed
