layer_name,layer_idx,sublayer,variant,dac_bits,EZR_mean,QZR_all_mean,QZR_nonzero_mean,ODR_mean,cosine_sim,ratio_q50,ratio_q90,ratio_q99,p_clip,absmax_q50,absmax_q90,absmax_q99,absmax_q999,EZR_pad_mean,QZR_all_pad_mean
bert.encoder.layer.9.output.dense,9,FFN2,sweep,4,0.10014862567186356,0.28304269909858704,0.2032503585020701,6.100286642710368,0.9973812898000082,0.16604050000508627,0.4682038923104604,0.7756526470184326,0.0,0.000157399522625686,0.00024006248471171907,0.004767065693158656,0.009748491458594799,0.10027736922105153,0.2799174090226491
bert.encoder.layer.9.attention.self.key,9,K,sweep,4,0.0,0.7020312349001566,0.7020312349001566,35.136610666910805,0.9855220913887024,0.03417064187427362,0.17415200173854828,0.5077735881010691,0.0,7.665321027161554e-05,0.00019908367054692158,0.0013135149298856656,0.003353745133305589,0.5998263855775198,0.8828260699907938
bert.encoder.layer.9.attention.output.dense,9,O,sweep,4,0.10008355975151062,0.3164994219938914,0.2404999037583669,7.638086001078288,0.9957258701324463,0.14634558061758676,0.44272784392038983,0.754544754823049,0.0,0.00021212592158311358,0.0005179108896603187,0.005959361791610718,0.023000440560281277,0.09983769059181213,0.30395564436912537
bert.encoder.layer.9.attention.self.query,9,Q,sweep,4,0.0,0.5715539852778116,0.5715539852778116,18.796916325887043,0.9902976155281067,0.05731051415205002,0.23626642922560373,0.5993353327115377,0.0,2.7434837951053243e-05,5.551583429526848e-05,0.0004850876866839826,0.0027296103071421385,0.0,0.5481669108072916
bert.encoder.layer.9.attention.self.value,9,V,sweep,4,0.0,0.39889491597811383,0.39889491597811383,11.15824031829834,0.9947059353192648,0.09915444254875183,0.35229166348775226,0.7198242743810018,0.0,0.00012359233126820376,0.0002452518480519454,0.004003700179358323,0.013822224922478199,0.5998263855775198,0.7601612210273743
bert.encoder.layer.10.intermediate.dense,10,FFN1,sweep,4,0.2357860952615738,0.7786306341489156,0.7104952136675516,95.26133600870769,0.9865378737449646,0.01593886346866687,0.15448300540447235,0.457706739505132,0.0,8.452881350725268e-05,0.00012149251900458087,0.0038706751705224938,0.00969870543728272,0.23519953588644663,0.7731751203536987
bert.encoder.layer.10.output.dense,10,FFN2,sweep,4,0.09985352059205373,0.2765924831231435,0.1963465909163157,5.788983186086019,0.9975777665774027,0.17380466063817343,0.47934092084566754,0.7825921575228373,0.0,9.692707923629011e-05,0.00012955072452314198,0.0047890149483767646,0.009333564899861813,0.09963876257340114,0.27497920393943787
bert.encoder.layer.10.attention.self.key,10,K,sweep,4,0.0,0.5662766595681509,0.5662766595681509,21.168580373128254,0.9899962345759074,0.05772365008791288,0.25375307102998096,0.6192062099774679,0.0,6.506744224073675e-05,0.00016635892097838223,0.0003562502582402279,0.0008761323988437653,0.5998263855775198,0.8287653128306071
bert.encoder.layer.10.attention.output.dense,10,O,sweep,4,0.09993003805478413,0.33822686473528546,0.2647543301184972,8.470236778259277,0.9945185780525208,0.13217916587988535,0.41885700821876526,0.7319583495457967,0.0,0.00012827128860711431,0.0003138358927875136,0.005136106881157805,0.019596683482329052,0.09987894942363103,0.3261396686236064
bert.encoder.layer.10.attention.self.query,10,Q,sweep,4,0.0007628409948665649,0.34221264719963074,0.34171296159426373,9.240392049153646,0.9944658279418945,0.11336886634429295,0.3450630009174347,0.6882375280062357,0.0,5.4879586362706805e-06,1.0971507739062266e-05,0.0001956763953785412,0.0009682323434390128,0.00028935185643301037,0.33621667822202045
bert.encoder.layer.10.attention.self.value,10,V,sweep,4,0.0,0.3334592779477437,0.3334592779477437,9.096373558044434,0.9952239394187927,0.11997505277395248,0.37216325600941974,0.6987959742546082,0.0,0.00013859497994417325,0.00023637684838225445,0.0007867341434272627,0.0018364339096782107,0.5998263855775198,0.7339296738306681
bert.encoder.layer.11.intermediate.dense,11,FFN1,sweep,4,0.2617031931877136,0.6669530868530273,0.5489047567049662,33.82081286112467,0.9918685158093771,0.030452440182367962,0.23686330020427704,0.5514545639355978,0.0,2.649333449274612e-05,3.433321035117842e-05,0.004577484151620108,0.009932949518164,0.26016291975975037,0.6596258680025736
bert.encoder.layer.11.output.dense,11,FFN2,sweep,4,0.10007718950510025,0.30644491314888,0.22931724786758423,6.967203934987386,0.9967952966690063,0.14493213593959808,0.4094921449820201,0.6926404039065043,0.0,3.560619128014272e-05,4.2172099104694403e-05,0.005067387995950412,0.00965106145789226,0.10001627604166667,0.3072199026743571
bert.encoder.layer.11.attention.self.key,11,K,sweep,4,0.0,0.4977034330368042,0.4977034330368042,15.999929428100586,0.9900163610776266,0.0727752335369587,0.2836557726065318,0.6443480849266052,0.0,4.9594129450269975e-05,0.00010221383611982067,0.00022971074455805743,0.00031620643130736426,0.5998263855775198,0.7932292819023132
bert.encoder.layer.11.attention.output.dense,11,O,sweep,4,0.0998163769642512,0.2772644857565562,0.19712424278259277,5.9482855796813965,0.997464120388031,0.16916865607102713,0.46940749883651733,0.7753687103589376,0.0,3.6618228477891535e-05,5.113616498420015e-05,0.005559488919971045,0.014170638285577297,0.09985803812742233,0.2771143118540446
bert.encoder.layer.11.attention.self.query,11,Q,sweep,4,0.0,0.2601446012655894,0.2601446012655894,6.913044770558675,0.9959155321121216,0.14939251045385996,0.4054391086101532,0.7188519438107809,0.0,1.0477426712895976e-06,1.812064283512882e-06,0.0001725341253404622,0.0003702736673100541,0.0,0.2562510172526042
bert.encoder.layer.11.attention.self.value,11,V,sweep,4,0.0,0.2689010401566823,0.2689010401566823,7.082411607106526,0.9960537751515707,0.14485541979471842,0.3966301381587982,0.7178773085276285,0.0,9.722569423805301e-05,0.0001435354570276104,0.00026072972589948523,0.0004976049288719272,0.5998263855775198,0.707628051439921
bert.encoder.layer.0.intermediate.dense,0,FFN1,sweep,6,0.04164573922753334,0.7415120800336202,0.7302969694137573,230.13737996419272,0.9975972374280294,0.004879086433599393,0.04392674192786217,0.291027973095576,0.0,0.00014617971707290658,0.0004834379942622036,0.0025290181705107293,0.007838383549824357,0.048433092733224235,0.8077867229779562
bert.encoder.layer.0.output.dense,0,FFN2,sweep,6,0.09943718711535136,0.14383268853028616,0.049297623336315155,6.51557191212972,0.9998362263043722,0.15719369053840637,0.45210618774096173,0.7605657974878947,0.0,0.00010167881070325772,0.00040069702663458884,0.0020633734917889037,0.005572936652849118,0.09973370532194774,0.1475044588247935
bert.encoder.layer.0.attention.self.key,0,K,sweep,6,0.0,0.20272169510523477,0.20272169510523477,22.5906925201416,0.9994764924049377,0.05502494300405184,0.24773145218690237,0.6241852641105652,0.0,7.636739610461518e-05,0.00022697169818760207,0.0009437380164551238,0.0016370188677683473,0.5998263855775198,0.6819288531939188
