layer_name,layer_idx,sublayer,ODR_mean,QZR_mean,p_clip_in,cosine_sim,absmax_q50,absmax_q90,absmax_q99,absmax_q999
bert.encoder.layer.2.attention.self.value,2,V,13.293085541725159,0.6208289343118668,0.0,0.44269602090120314,1.1628053744061617e-06,5.907964061407256e-05,0.00038173144654138016,0.0010907858581049369
bert.encoder.layer.3.attention.self.key,3,K,12.538240752220155,0.6220419597625733,0.0,0.44265818208456037,6.105563443270512e-07,3.879621086525731e-05,0.00019808548138826155,0.0004738311000983231
bert.encoder.layer.3.attention.output.dense,3,O,11.802677593231202,0.13978261031210423,0.0,0.9994776573777199,1.2935310342072626e-05,0.00011677842860081001,0.0007511125860037282,0.003455993796233088
bert.encoder.layer.3.attention.self.query,3,Q,20.924437341690062,0.12560371086001396,0.0,0.999422812461853,2.682497712385157e-06,2.1639300366587123e-05,0.00011885875836014747,0.000524199655483244
bert.encoder.layer.3.attention.self.value,3,V,11.201264777183532,0.612238071411848,0.0,0.44269947305321694,9.898773771510605e-07,5.648550155456178e-05,0.0004408776269701775,0.000983510553778615
bert.encoder.layer.4.attention.self.key,4,K,16.721850666999817,0.6425889962911606,0.0,0.44259604036808015,6.053597985555825e-07,4.448477362529957e-05,0.000245766688749427,0.000579274872870883
bert.encoder.layer.4.attention.output.dense,4,O,9.32012626171112,0.1314417665451765,0.0,0.9996636709570885,9.3144764855424e-06,9.513392582448432e-05,0.0006059903542336542,0.003156447501387447
bert.encoder.layer.4.attention.self.query,4,Q,19.115208292007445,0.11006157625466585,0.0,0.9994826582074166,2.4276701213921115e-06,2.3056762156556942e-05,0.00013503532209142578,0.0005878460338863079
bert.encoder.layer.4.attention.self.value,4,V,11.054489719867707,0.6152615147829056,0.0,0.4427125889062882,6.56536302585664e-07,4.352781737907208e-05,0.0003238191812124569,0.0011356865408015436
bert.encoder.layer.5.attention.self.key,5,K,16.163608222007753,0.6450530757009983,0.0,0.44262042820453645,5.537301501590264e-07,4.107283406483475e-05,0.0002466824184375582,0.0005687734881939832
bert.encoder.layer.5.attention.output.dense,5,O,8.811617770195006,0.12971300952136516,0.0,0.9996998092532158,9.154772426427371e-06,8.993363688205136e-05,0.0005884155983221718,0.003064472439000383
bert.encoder.layer.5.attention.self.query,5,Q,21.940649452209474,0.1471678901463747,0.0,0.9994627606868743,2.161386765919815e-06,2.2296178885881092e-05,0.00013740896843955852,0.000645249979570508
bert.encoder.layer.5.attention.self.value,5,V,10.720975184440613,0.6193227203190327,0.0,0.44273151144385336,6.389443876742006e-07,4.172284567175666e-05,0.00042102522522327493,0.0012047370077925734
bert.encoder.layer.6.attention.self.key,6,K,18.4649871301651,0.6499343229830266,0.0,0.4425749334692955,5.593999628672464e-07,4.195210223770118e-05,0.00029891235622926616,0.0007602465739182662
