layer_name,layer_idx,sublayer,variant,dac_bits,EZR_mean,QZR_all_mean,QZR_nonzero_mean,ODR_mean,cosine_sim,ratio_q50,ratio_q90,ratio_q99,p_clip,absmax_q50,absmax_q90,absmax_q99,absmax_q999,EZR_pad_mean,QZR_all_pad_mean
bert.encoder.layer.8.intermediate.dense,8,FFN1,nm_thres_cal,7,0.0006882362300530076,0.43231338262557983,0.43192282915115354,108.02636413574218,0.999299955368042,0.010111587308347224,0.056227206438779834,0.30768988132476804,0.0,0.00010745885083451867,0.00046652182936668396,0.0033936380641534925,0.007167243678122759,0.0004906548536382615,0.3398475706577301
bert.encoder.layer.8.output.dense,8,FFN2,nm_thres_cal,7,0.09998576492071151,0.11997292339801788,0.02220758832991123,6.112789440155029,0.9999673366546631,0.16497510969638823,0.4599356293678284,0.7647886991500854,0.0,8.968607726274058e-05,0.00037830799992661924,0.003996744751930237,0.011108976602554322,0.09998677670955658,0.12045220285654068
bert.encoder.layer.8.attention.self.key,8,K,nm_thres_cal,7,0.0,0.21079885363578796,0.21079885363578796,42.282013702392575,0.9998220920562744,0.030347250401973724,0.18791940212249755,0.553113603591919,0.0,8.162958547472954e-05,0.0003767648886423558,0.0014017615467309952,0.0020193726057186724,0.5869791626930236,0.6767018675804138
bert.encoder.layer.8.attention.output.dense,8,O,nm_thres_cal,7,0.0995291605591774,0.12007350474596024,0.022815020009875297,6.26129846572876,0.9999662518501282,0.1613809198141098,0.45364453792572024,0.761644470691681,0.0,0.00010438665340188891,0.0004486790945520625,0.005368843302130699,0.012309426814317704,0.09970499873161316,0.12044609785079956
bert.encoder.layer.8.attention.self.query,8,Q,nm_thres_cal,7,0.0,0.1717787802219391,0.1717787802219391,30.50660629272461,0.9998124122619629,0.04253180399537086,0.21167671978473662,0.5636754155158996,0.0,4.15358881582506e-05,0.00018643999646883458,0.0011909191380254924,0.0035038255155086517,0.0,0.14244452714920045
bert.encoder.layer.8.attention.self.value,8,V,nm_thres_cal,7,0.0,0.12053683251142502,0.12053683251142502,24.435474014282228,0.999900484085083,0.053988876193761824,0.2754326343536377,0.6755391716957092,0.0,7.573541151941753e-05,0.0003766072099097073,0.0026514184894040225,0.004927391279488802,0.5869791626930236,0.6390279173851013
bert.encoder.layer.9.intermediate.dense,9,FFN1,nm_thres_cal,7,0.0019139364361763001,0.4086725294589996,0.4075381219387054,96.24129638671874,0.9992783546447754,0.011348019912838936,0.05984574556350708,0.31263827085494994,0.0,7.529271169914864e-05,0.00030303744424600156,0.0027965131448581815,0.008963956777006388,0.0016237047035247087,0.3091857016086578
bert.encoder.layer.9.output.dense,9,FFN2,nm_thres_cal,7,0.10010913014411926,0.12041831910610198,0.022568611800670622,6.113958358764648,0.999966835975647,0.1649189591407776,0.45864473581314086,0.7623010873794556,0.0,7.705180250923149e-05,0.0002804952237056568,0.0047529009461868554,0.012549099884927273,0.10019225925207138,0.12093913108110428
bert.encoder.layer.9.attention.self.key,9,K,nm_thres_cal,7,0.0,0.21189920008182525,0.21189920008182525,43.51479721069336,0.9998570799827575,0.03292584493756294,0.21502034962177277,0.6137251734733582,0.0,6.933718468644656e-05,0.00040915994613897053,0.001598774013109505,0.002977052587084472,0.5869791626930236,0.6778225302696228
bert.encoder.layer.9.attention.output.dense,9,O,nm_thres_cal,7,0.10010406523942947,0.11976276189088822,0.021845349669456483,6.0076862335205075,0.9999683380126954,0.16774909794330597,0.46484979391098025,0.7694270610809326,0.0,8.443556871498003e-05,0.0003192310745362192,0.00515704284189269,0.013290021196007728,0.10008714348077774,0.12030165046453475
