layer_name,layer_idx,sublayer,variant,dac_bits,EZR_mean,QZR_all_mean,QZR_nonzero_mean,ODR_mean,cosine_sim,ratio_q50,ratio_q90,ratio_q99,p_clip,absmax_q50,absmax_q90,absmax_q99,absmax_q999,EZR_pad_mean,QZR_all_pad_mean
bert.encoder.layer.1.attention.self.query,1,Q,baseline,7,3.967347197431081e-09,0.12254183754324913,0.12254183404147626,23.3456915473938,0.9998412412405014,0.04911486020311713,0.21320281706750394,0.5717114093899727,0.0,1.5128854743124975e-05,6.101543307522661e-05,0.00032032026756496635,0.0012190248358820099,8.477105097881576e-09,0.1298227283358574
bert.encoder.layer.1.attention.self.value,1,V,baseline,7,4.5054787278786535e-09,0.12917204450815917,0.12917204055935144,26.2393016910553,0.999853435754776,0.05150376740843057,0.2394994667172432,0.6120685082674027,0.0,2.749353316175984e-05,0.00010119050522916951,0.0005662050603132229,0.0016815050330478698,0.5570914742350578,0.6143930731713771
bert.encoder.layer.2.intermediate.dense,2,FFN1,baseline,7,0.0018220045871566982,0.526320506632328,0.5254559522867203,154.77484664916992,0.9992577528953552,0.007035150746814906,0.04810223791748285,0.2904552821815014,0.0,3.453127916145604e-05,0.0001391975870137685,0.0006948488600028213,0.0016204391873907299,0.002424152181483805,0.5906938248872757
bert.encoder.layer.2.output.dense,2,FFN2,baseline,7,0.1000103411078453,0.12524936385452748,0.028043680023401976,7.523504137992859,0.9999446102976799,0.13936025522649287,0.4223234854638577,0.7343148422241211,0.0,3.245561744734005e-05,0.0001404880568225053,0.0008828106867440511,0.0028430932469200344,0.10001128811389208,0.12936059564352034
bert.encoder.layer.2.attention.self.key,2,K,baseline,7,9.381892880355736e-09,0.18190747901797294,0.18190747149288655,33.7381001663208,0.9998521089553833,0.04063646759837866,0.22249286875128746,0.5993370887637138,0.0,1.775047183400602e-05,6.555430507432903e-05,0.0002640407569560921,0.0006369124057528097,0.5570914766192436,0.6382397001981736
bert.encoder.layer.2.attention.output.dense,2,O,baseline,7,0.10002483315765857,0.12169428907334805,0.024077838156372308,6.461805257797241,0.9999620079994201,0.15751790389418602,0.44949432358145713,0.7579872789978981,0.0,3.365356833455735e-05,0.00013220269305747935,0.000817467126325937,0.0022568923159269616,0.09998628083616495,0.124913695640862
bert.encoder.layer.2.attention.self.query,2,Q,baseline,7,1.029685506637179e-08,0.24319700546562673,0.24319699771702288,27.703488178253174,0.9998251450061798,0.03961109098047018,0.1938261568546295,0.5273082292079926,0.0,1.1719344543053012e-05,4.947623823682079e-05,0.00025269218152971005,0.0007433153658348602,4.238552548940788e-09,0.20665791161358357
bert.encoder.layer.2.attention.self.value,2,V,baseline,7,4.704058369497943e-09,0.14445871606469154,0.14445871211588382,30.18717728614807,0.9998770496249199,0.04665731959044933,0.252070638909936,0.6507183891534806,0.0,2.9695329221794963e-05,0.00011229600462684175,0.0006599774613277986,0.001317637237953022,0.5570914739370346,0.6212399177253246
bert.encoder.layer.3.intermediate.dense,3,FFN1,baseline,7,0.003810327926184982,0.5023688791692257,0.500465662330389,195.08415748596192,0.9993828821182251,0.007850539479404688,0.05338986760005355,0.32117059484124183,0.0,3.0957813733039076e-05,0.0001320402755663963,0.0007105164758104365,0.0017090470914263279,0.004151144631905481,0.5297269433736801
bert.encoder.layer.3.output.dense,3,FFN2,baseline,7,0.10001381501555442,0.12214324839413165,0.024588629668578506,6.593934104442597,0.9999601945281029,0.15461387045681477,0.4440530554950237,0.7529994693398475,0.0,2.874996152058884e-05,0.00012533371365861968,0.0007802015742345247,0.0022810286114690824,0.10001106765121222,0.1241637472063303
bert.encoder.layer.3.attention.self.key,3,K,baseline,7,4.351882694209053e-09,0.1474652288109064,0.14746522516012192,28.691860399246217,0.9998552399873734,0.04396716685965657,0.22533121325075625,0.5992220386862754,0.0,1.8284283582943318e-05,7.569172987132334e-05,0.00028569318070367447,0.0006065718024910893,0.5570914742350578,0.6224782976508141
bert.encoder.layer.3.attention.output.dense,3,O,baseline,7,0.10001443155109882,0.13632992282509804,0.040351253896951676,10.838575263023376,0.9998813164234162,0.1035297043249011,0.37042982786893847,0.6935163375735283,0.0,4.813207366169081e-05,0.00024084686825517565,0.001465512379654683,0.005275301757501438,0.10000430505722761,0.14009502813220023
bert.encoder.layer.3.attention.self.query,3,Q,baseline,7,4.873066359323275e-09,0.10082510724663735,0.1008251028507948,17.96498558998108,0.9998751771450043,0.06084080001339316,0.2533943536132574,0.6183028757572174,0.0,9.773899571428046e-06,4.184634008197463e-05,0.00022895677102496848,0.0006872807588661089,6.357828823411182e-09,0.12650267153978348
bert.encoder.layer.3.attention.self.value,3,V,baseline,7,3.5153436783730286e-09,0.12520023789256812,0.12520023483783008,25.45748638153076,0.999879178404808,0.053065682277083394,0.2626102662086487,0.6521331027150155,0.0,2.6894542870650184e-05,0.00012012317070912104,0.000632852320704842,0.0011999653928796762,0.5570914740860462,0.6126144929230213
bert.encoder.layer.4.intermediate.dense,4,FFN1,baseline,7,0.0020221659017261116,0.4780177341401577,0.47696025907993317,165.63244590759277,0.9993972572684288,0.008786642584018409,0.05799749471247196,0.3250211192667484,0.0,3.156525664962828e-05,0.00013860119892342482,0.0007482557940238621,0.0017139911616686732,0.0020286115299677477,0.4805335275828838
