layer_name,layer_idx,sublayer,q,safety,theta,CCR,QZR_nonzero,cosine_sim
bert.encoder.layer.0.attention.self.query,0,Q,0.99,1.2,0.0002322625718079507,0.007412089386049691,0.0727855557695951,0.9993846991985242
bert.encoder.layer.0.attention.self.query,0,Q,0.995,1.0,0.00028602004749700427,0.005001414801394957,0.07286324352513636,0.9994199543956226
bert.encoder.layer.0.attention.self.query,0,Q,0.995,1.1,0.0003146220522467047,0.004016566038151865,0.07288989067410219,0.9994308639843013
bert.encoder.layer.0.attention.self.query,0,Q,0.995,1.2,0.0003432240569964051,0.0033330515979906146,0.07291083421352103,0.9994390174663663
bert.encoder.layer.0.attention.self.query,0,Q,0.999,1.0,0.0005379513604566455,0.0010032228073334484,0.07297487062842671,0.9994591140770901
bert.encoder.layer.0.attention.self.query,0,Q,0.999,1.1,0.0005917464965023101,0.0007423113812503905,0.07298174175536422,0.9994606069681725
bert.encoder.layer.0.attention.self.query,0,Q,0.999,1.2,0.0006455416325479745,0.0005695953668010422,0.07298693337982605,0.9994617553459282
bert.encoder.layer.0.attention.self.value,0,V,0.9,1.0,9.667831182014197e-05,0.10000257236617265,0.08171925968832722,0.9961245695880172
bert.encoder.layer.0.attention.self.value,0,V,0.9,1.1,0.00010634614300215618,0.08696067587083782,0.08280226125532694,0.9966175681585165
bert.encoder.layer.0.attention.self.value,0,V,0.9,1.2,0.00011601397418417036,0.07704604167968161,0.08371866191942615,0.9970150216997461
bert.encoder.layer.0.attention.self.value,0,V,0.95,1.0,0.00015907529450487345,0.05000312358749536,0.08654414490414261,0.9981108037541847
bert.encoder.layer.0.attention.self.value,0,V,0.95,1.1,0.00017498282395536082,0.044116079860945234,0.08725818705297482,0.9983528817850751
bert.encoder.layer.0.attention.self.value,0,V,0.95,1.2,0.00019089035340584813,0.039342503206270696,0.08785833883789071,0.9985451202213704
bert.encoder.layer.0.attention.self.value,0,V,0.99,1.0,0.0004571603494696319,0.010002829602789915,0.09157096277847394,0.9994220214755827
bert.encoder.layer.0.attention.self.value,0,V,0.99,1.1,0.0005028763844165951,0.00800373360575916,0.09175112889361306,0.9994475154617581
bert.encoder.layer.0.attention.self.value,0,V,0.99,1.2,0.0005485924193635583,0.006452964284533097,0.0918819051954447,0.9994647411280928
bert.encoder.layer.0.attention.self.value,0,V,0.995,1.0,0.0006043408648110926,0.005001414801394957,0.09199782914496998,0.9994787513367117
bert.encoder.layer.0.attention.self.value,0,V,0.995,1.1,0.0006647749512922019,0.003718906523888095,0.09208434983904337,0.9994895460876148
bert.encoder.layer.0.attention.self.value,0,V,0.995,1.2,0.0007252090377733112,0.0028479768340052107,0.09214390758039563,0.9994959770030464
bert.encoder.layer.0.attention.self.value,0,V,0.999,1.0,0.0009663646924309433,0.0010032228073334484,0.09225130004017791,0.9995064272406228
bert.encoder.layer.0.attention.self.value,0,V,0.999,1.1,0.0010630011616740377,0.0006504411607986094,0.09226754958542031,0.9995080349694807
bert.encoder.layer.0.attention.self.value,0,V,0.999,1.2,0.001159637630917132,0.00044097705816854876,0.09227741606430426,0.9995088388339096
bert.encoder.layer.1.attention.self.key,1,K,0.9,1.0,7.244906009873375e-05,0.10000257236617265,0.13533468749719935,0.9962971707646909
bert.encoder.layer.1.attention.self.key,1,K,0.9,1.1,7.969396610860713e-05,0.08753027123763886,0.13680488377117955,0.9967568663802766
bert.encoder.layer.1.attention.self.key,1,K,0.9,1.2,8.69388721184805e-05,0.07672633331250941,0.13801651322242395,0.9971226246954502
bert.encoder.layer.1.attention.self.key,1,K,0.95,1.0,0.00011696324509102851,0.05000312358749536,0.14128105931800342,0.9980626867262231
bert.encoder.layer.1.attention.self.key,1,K,0.95,1.1,0.00012865956960013137,0.043546484494144194,0.1420964888718391,0.9982828307419807
bert.encoder.layer.1.attention.self.key,1,K,0.95,1.2,0.0001403558941092342,0.0380379460758554,0.14274855211933762,0.9984556615942055
bert.encoder.layer.1.attention.self.key,1,K,0.99,1.0,0.00031765337917022407,0.010002829602789915,0.14589496842255428,0.9992482719211533
bert.encoder.layer.1.attention.self.key,1,K,0.99,1.1,0.0003494187170872465,0.008334466399385572,0.14604227179495746,0.9992824935782716
bert.encoder.layer.1.attention.self.key,1,K,0.99,1.2,0.0003811840550042689,0.006893941342701646,0.14615190359188782,0.9993086765911003
bert.encoder.layer.1.attention.self.key,1,K,0.995,1.0,0.0004462808428797871,0.005001414801394957,0.146303905743297,0.9993446208148521
bert.encoder.layer.1.attention.self.key,1,K,0.995,1.1,0.0004909089271677658,0.004056988935150649,0.14637395200181932,0.9993603535901044
bert.encoder.layer.1.attention.self.key,1,K,0.995,1.2,0.0005355370114557444,0.003215457715812335,0.14642568163505146,0.9993721818809876
