layer_name,layer_idx,sublayer,nm_thres,ODR_mean,QZR_mean,CCR_mean,absmax_q50,absmax_q99,absmax_q999
bert.encoder.layer.5.attention.self.query,5,Q,0.0003461597370915115,21.94672496795654,0.14665615431964396,0.003738606871338561,1.969066943274811e-06,0.00013632781337946653,0.0007012992864474654
bert.encoder.layer.5.attention.self.value,5,V,0.0003461597370915115,10.693332099914551,0.6184103973209858,0.011839193007908762,0.0,0.00043018118594773114,0.001215473748743534
bert.encoder.layer.6.attention.self.key,6,K,0.0003461597370915115,18.650289134979246,0.6496957306563854,0.008279622633708641,0.0,0.00030953146051615477,0.0007950313738547266
bert.encoder.layer.6.attention.output.dense,6,O,0.0003461597370915115,7.1142778182029724,0.12373707752674817,0.01793945372104645,6.262118404265493e-06,0.0004988302243873477,0.0031979915220290422
bert.encoder.layer.6.attention.self.query,6,Q,0.0003461597370915115,23.382863397598268,0.14164950828999281,0.004233398565556854,2.08205506169179e-06,0.00014589910279028118,0.0008132566581480205
bert.encoder.layer.6.attention.self.value,6,V,0.0003461597370915115,11.00879208087921,0.6159841011464596,0.012802734719589353,0.0,0.000490148609969765,0.0012680348008871078
bert.encoder.layer.7.attention.self.key,7,K,0.0003461597370915115,25.473757219314574,0.6760339602828026,0.00787434919271618,0.0,0.0003020517178811133,0.0008301778580062091
bert.encoder.layer.7.attention.output.dense,7,O,0.0003461597370915115,6.408357429504394,0.12136506255716085,0.014864909281022846,5.538989171327557e-06,0.0005027996376156807,0.0030015306547284126
bert.encoder.layer.7.attention.self.query,7,Q,0.0003461597370915115,24.556333322525024,0.16626084603369237,0.0037662761367391797,1.9598073777160607e-06,9.626991959521547e-05,0.0006923000328242779
bert.encoder.layer.7.attention.self.value,7,V,0.0003461597370915115,15.342227010726928,0.6356978212296963,0.015468750423751771,0.0,0.000590487034060061,0.0013475215528160334
bert.encoder.layer.8.attention.self.key,8,K,0.0003461597370915115,20.06264810562134,0.656442120373249,0.009031575764529407,0.0,0.00032698994618840516,0.0008098516846075654
bert.encoder.layer.8.attention.output.dense,8,O,0.0003461597370915115,6.1775453090667725,0.12054128721356391,0.014130859724245966,5.720413355447818e-06,0.0004822171467822045,0.0033386379946023226
bert.encoder.layer.8.attention.self.query,8,Q,0.0003461597370915115,23.4734592628479,0.14399083212018013,0.005180664211511612,2.2260051082412247e-06,0.0001618920505279675,0.001214012736454606
bert.encoder.layer.8.attention.self.value,8,V,0.0003461597370915115,11.169003086090088,0.61391566619277,0.012005208628252148,0.0,0.0004169286694377661,0.0014963815920054913
bert.encoder.layer.9.attention.self.key,9,K,0.0003461597370915115,21.078433876037597,0.6612629313766957,0.008085937718860806,0.0,0.00030902589787729084,0.000772787956520915
bert.encoder.layer.9.attention.output.dense,9,O,0.0003461597370915115,6.021737370491028,0.12008873268961906,0.00723144551506266,6.449383363360539e-06,0.000244197144638747,0.0034280780237168074
bert.encoder.layer.9.attention.self.query,9,Q,0.0003461597370915115,16.053615288734434,0.09526787530630827,0.0045426433859393,1.619930230845057e-06,8.403811079915613e-05,0.0009542755433358252
bert.encoder.layer.9.attention.self.value,9,V,0.0003461597370915115,13.16150146484375,0.6234447872638702,0.014016927443444729,0.0,0.0005004158010706306,0.0014419523067772388
bert.encoder.layer.10.attention.self.key,10,K,0.0003461597370915115,22.27437270641327,0.6662770394980907,0.004462890747236088,0.0,0.0002196686837123707,0.0006744835409335792
bert.encoder.layer.10.attention.output.dense,10,O,0.0003461597370915115,6.281148891448975,0.12094889815896749,0.005839843903668224,7.723076123511419e-06,0.00016580891679041088,0.0035225225146859884
bert.encoder.layer.10.attention.self.query,10,Q,0.0003461597370915115,20.530741300582886,0.1338598582521081,0.004293619935633614,1.633559122637962e-06,4.1826242522802204e-05,0.0008928689640015364
bert.encoder.layer.10.attention.self.value,10,V,0.0003461597370915115,14.889712142944337,0.6322970435023307,0.01607910208404064,0.0,0.0004736054688692093,0.0012049658689647913
bert.encoder.layer.11.attention.self.key,11,K,0.0003461597370915115,21.99353935241699,0.6610088035464287,0.004129231882980093,0.0,0.0001894390443339944,0.0007627643062733114
bert.encoder.layer.11.attention.output.dense,11,O,0.0003461597370915115,6.439170114994049,0.12148880511522293,0.004650065250461921,8.102379069896415e-06,0.00014307981473393738,0.0036323622334748507
bert.encoder.layer.11.attention.self.query,11,Q,0.0003461597370915115,21.484466848373412,0.14601462662220002,0.00419759128941223,1.4993546528785373e-06,1.0930059033853468e-05,0.0008709569228813052
bert.encoder.layer.11.attention.self.value,11,V,0.0003461597370915115,15.467850666046143,0.6261481308937072,0.01094726589275524,0.0,0.0003626621619332582,0.0014064237475395203
