layer_name,layer_idx,sublayer,variant,dac_bits,EZR_mean,QZR_all_mean,QZR_nonzero_mean,ODR_mean,cosine_sim,ratio_q50,ratio_q90,ratio_q99,EZR_pad_mean,QZR_all_pad_mean
bert.encoder.layer.5.attention.self.query,5,Q,baseline,7,0.0,0.16779645211994648,0.16779645211994648,26.835050764083864,0.9994212448596954,0.04477063186466694,0.2282911663502455,0.5926062336564064,4.238552548940788e-09,0.1471678901463747
bert.encoder.layer.5.attention.self.value,5,V,baseline,7,9.848519084698638e-09,0.14033071115612983,0.14033070273697376,24.518305253982543,0.9996004551649094,0.05192300548776984,0.2789434942603111,0.6741056403517723,0.5570914760231972,0.6193227203190327
bert.encoder.layer.6.attention.self.key,6,K,baseline,7,5.384960104493075e-09,0.20933733075857164,0.20933732643723488,42.62129236221313,0.9992472308874131,0.031130260191857814,0.18446645103394985,0.5367978516221047,0.5570914739370346,0.6499343229830266
bert.encoder.layer.6.attention.output.dense,6,O,baseline,7,0.0999997753277421,0.12431479781866074,0.027016687132418157,7.305282816886902,0.9998010098934174,0.14152757644653322,0.423803808093071,0.736578571498394,0.09998952530324459,0.12416055325418711
bert.encoder.layer.6.attention.self.query,6,Q,baseline,7,5.7108917417281195e-09,0.17643049277365208,0.1764304880797863,31.34332640647888,0.999331704378128,0.040274771377444264,0.2075798972696066,0.5711709448695182,4.238552548940788e-09,0.1426019198447466
bert.encoder.layer.6.attention.self.value,6,V,baseline,7,1.6470481227770507e-08,0.13414840821176768,0.13414839398115874,25.078479490280152,0.9995897459983826,0.05133495410904288,0.27415186747908593,0.672436805665493,0.5570914784073829,0.6165713532269002
bert.encoder.layer.7.attention.self.key,7,K,baseline,7,0.0,0.27186732649803164,0.27186732649803164,60.28694799423218,0.9991602644324302,0.02330805064179003,0.16451958701014519,0.513863035440445,0.557091471850872,0.6776733732223511
bert.encoder.layer.7.attention.output.dense,7,O,baseline,7,0.1000266433879733,0.12181622929871082,0.024211370134726167,6.5531449842453,0.9998443683981896,0.15527468413114548,0.44494705751538277,0.753710221350193,0.09999932464212179,0.12161023736000061
bert.encoder.layer.7.attention.self.query,7,Q,baseline,7,0.0,0.20659021593630314,0.20659021593630314,32.158410987854005,0.9994324687123298,0.03698319025337696,0.21830103784799576,0.5937240493297576,0.0,0.16591205559670924
bert.encoder.layer.7.attention.self.value,7,V,baseline,7,0.0,0.18201613672077654,0.18201613672077654,35.597271003723144,0.9995429491996766,0.0379772106744349,0.2496374124288559,0.664273736178875,0.557091471850872,0.6378063100576401
bert.encoder.layer.8.attention.self.key,8,K,baseline,7,5.536068670153327e-09,0.22782779417932034,0.2278277899324894,46.89759582519531,0.9992743775248527,0.028504820074886084,0.1838073243945837,0.5506062796711921,0.5570914739370346,0.6581437246501446
bert.encoder.layer.8.attention.output.dense,8,O,baseline,7,0.09997232139110565,0.12062447790056467,0.022946144258603453,6.209213101863861,0.999861948788166,0.16279978007078172,0.4572006043791771,0.7635621252655983,0.09997646424919367,0.12075981639325618
bert.encoder.layer.8.attention.self.query,8,Q,baseline,7,0.0,0.17619925372302533,0.17619925372302533,30.877648458480834,0.9992386436462403,0.04107875810936093,0.20392856612801552,0.5490243792533874,0.0,0.1479626988619566
bert.encoder.layer.8.attention.self.value,8,V,baseline,7,0.0,0.13018422923982143,0.13018422923982143,25.559766635894775,0.9995774018764496,0.05183544067665934,0.2713200995326042,0.6692478495836258,0.557091471850872,0.61481451228261
bert.encoder.layer.9.attention.self.key,9,K,baseline,7,8.85155117202885e-09,0.23929843723773955,0.23929843068122864,49.56833625793457,0.999387899339199,0.028843583250418307,0.20234223268926144,0.5948456820845603,0.5570914763212204,0.6632837317883968
bert.encoder.layer.9.attention.output.dense,9,O,baseline,7,0.10000381730496884,0.11974319972097874,0.021932738153263926,5.9368481755256655,0.9998750707507134,0.1696118374168873,0.46937214002013206,0.7741585031151772,0.10000120867043734,0.12020855262875557
bert.encoder.layer.9.attention.self.query,9,Q,baseline,7,5.7921857887777154e-09,0.11597975555807352,0.11597975037992,20.37436932563782,0.9994988834857941,0.057052243892103435,0.24966615550220012,0.6089743131399155,2.119276274470394e-09,0.09778766080737114
bert.encoder.layer.9.attention.self.value,9,V,baseline,7,0.0,0.15234239481389522,0.15234239481389522,29.856232347488405,0.9995710504055023,0.0479737232811749,0.2658404278755188,0.6672625130414963,0.557091471850872,0.6247409902513027
bert.encoder.layer.10.attention.self.key,10,K,baseline,7,0.0,0.24184412620961665,0.24184412620961665,50.80785085678101,0.9994359222054482,0.02890713113360107,0.20986558727920054,0.6135047143697738,0.557091471850872,0.6642865516245365
bert.encoder.layer.10.attention.output.dense,10,O,baseline,7,0.10001026440411806,0.12136790484189987,0.02373098992742598,6.422021663188934,0.9998527327179909,0.15745450481772422,0.4434204311668873,0.7483777990937233,0.10001239646226168,0.12237488321959972
bert.encoder.layer.10.attention.self.query,10,Q,baseline,7,4.1653336779745585e-09,0.14210479080677033,0.14210478723049164,24.802853412628174,0.9994171345233918,0.04711509944871068,0.22604967638850212,0.5851265487074852,1.0596381372351971e-08,0.13607744771987199
bert.encoder.layer.10.attention.self.value,10,V,baseline,7,8.641885074212041e-09,0.16977793514728545,0.16977792784571646,33.40789795875549,0.9995439341664314,0.04294619105756283,0.2574614404141903,0.659925422668457,0.5570914763212204,0.6323210215568542
bert.encoder.layer.11.attention.self.key,11,K,baseline,7,0.0,0.23545941390097141,0.23545941390097141,51.334154758453366,0.9994752699136734,0.030339782191440463,0.22161584869027137,0.6334955412149429,0.557091471850872,0.6616730412840843
bert.encoder.layer.11.attention.output.dense,11,O,baseline,7,0.09999527465552091,0.12137575879693031,0.0237559734005481,6.434269702434539,0.9998571318387985,0.15633581191301346,0.4320953439176083,0.735942103266716,0.10000722970813512,0.12184226002544164
bert.encoder.layer.11.attention.self.query,11,Q,baseline,7,0.0,0.1716602200269699,0.1716602200269699,29.943647975921632,0.999490353167057,0.04051034886389971,0.23154769025743008,0.6196090388298034,4.238552548940788e-09,0.14824895799160004
bert.encoder.layer.11.attention.self.value,11,V,baseline,7,0.0,0.1526630041003227,0.1526630041003227,34.27700267791748,0.9995885610580444,0.04784530222415924,0.27801193997263907,0.6854824981093407,0.557091471850872,0.6249439005553722
