layer_name,layer_idx,sublayer,variant,dac_bits,EZR_mean,QZR_all_mean,QZR_nonzero_mean,ODR_mean,cosine_sim,ratio_q50,ratio_q90,ratio_q99,EZR_pad_mean,QZR_all_pad_mean,CCR
bert.encoder.layer.10.attention.output.dense,10,O,baseline,7,0.10001026440411806,0.12136790484189987,0.02373098992742598,6.422021663188934,0.9998527327179909,0.15745450481772422,0.4434204311668873,0.7483777990937233,0.10001239646226168,0.12237488321959972,
bert.encoder.layer.10.attention.self.query,10,Q,baseline,7,4.1653336779745585e-09,0.14210479080677033,0.14210478723049164,24.802853412628174,0.9994171345233918,0.04711509944871068,0.22604967638850212,0.5851265487074852,1.0596381372351971e-08,0.13607744771987199,
bert.encoder.layer.10.attention.self.value,10,V,baseline,7,8.641885074212041e-09,0.16977793514728545,0.16977792784571646,33.40789795875549,0.9995439341664314,0.04294619105756283,0.2574614404141903,0.659925422668457,0.5570914763212204,0.6323210215568542,
bert.encoder.layer.11.attention.self.key,11,K,baseline,7,0.0,0.23545941390097141,0.23545941390097141,51.334154758453366,0.9994752699136734,0.030339782191440463,0.22161584869027137,0.6334955412149429,0.557091471850872,0.6616730412840843,
bert.encoder.layer.11.attention.output.dense,11,O,baseline,7,0.09999527465552091,0.12137575879693031,0.0237559734005481,6.434269702434539,0.9998571318387985,0.15633581191301346,0.4320953439176083,0.735942103266716,0.10000722970813512,0.12184226002544164,
bert.encoder.layer.11.attention.self.query,11,Q,baseline,7,0.0,0.1716602200269699,0.1716602200269699,29.943647975921632,0.999490353167057,0.04051034886389971,0.23154769025743008,0.6196090388298034,4.238552548940788e-09,0.14824895799160004,
bert.encoder.layer.11.attention.self.value,11,V,baseline,7,0.0,0.1526630041003227,0.1526630041003227,34.27700267791748,0.9995885610580444,0.04784530222415924,0.27801193997263907,0.6854824981093407,0.557091471850872,0.6249439005553722,
bert.encoder.layer.0.attention.self.key,0,K,sto_round,7,1.573098586504784e-08,0.11171692993491888,0.11171691596508027,23.523881063461303,0.9994895857572555,0.05342887580394745,0.2439948933571577,0.6231529948115349,0.5570914787054062,0.6066356116533279,
bert.encoder.layer.0.attention.output.dense,0,O,sto_round,7,0.10001762874424458,0.12033441826701165,0.022574655432254075,6.106073689460755,0.9998661211133003,0.16550650395452976,0.4627694246172905,0.7680609664320945,0.09999825838953257,0.12053731378167867,
bert.encoder.layer.0.attention.self.query,0,Q,sto_round,7,0.0,0.07253603108227252,0.07253603108227252,15.718011341094972,0.9994665601849556,0.06742283504456281,0.23936588063836098,0.5787762179970741,2.119276274470394e-09,0.0884296066313982,
bert.encoder.layer.0.attention.self.value,0,V,sto_round,7,5.380509833230462e-09,0.09195790730416775,0.09195790238678456,19.755506381988525,0.9995167076587677,0.06364042967557908,0.2614435135573149,0.6303884389996529,0.5570914739370346,0.5978989541530609,
bert.encoder.layer.1.attention.self.key,1,K,sto_round,7,4.9926507017517e-09,0.14758791103959085,0.1475879067927599,30.215819997787477,0.9994225284457207,0.044271035306155684,0.22735092505812646,0.6013148871064186,0.5570914742350578,0.6225705440342426,
bert.encoder.layer.1.attention.output.dense,1,O,sto_round,7,0.09995366934686899,0.12028524190187455,0.02258947279304266,6.111415870189667,0.9998670983314514,0.16522669576108456,0.4619367302954197,0.7678303050994874,0.09996888149529695,0.12122265793383122,
bert.encoder.layer.1.attention.self.query,1,Q,sto_round,7,4.73829459224362e-09,0.12082542028278112,0.1208254161849618,23.13303960800171,0.9993803808093071,0.04951600020751357,0.2139965143799782,0.5720764935016632,4.238552548940788e-09,0.12882718950510025,
bert.encoder.layer.1.attention.self.value,1,V,sto_round,7,9.5888816531442e-09,0.12888884998857975,0.12888884156942368,26.371693477630615,0.9994304656982422,0.05155223485082388,0.2399377117305994,0.6123544424772263,0.5570914766192436,0.614256699681282,
bert.encoder.layer.2.attention.self.key,2,K,sto_round,7,4.69727041263468e-09,0.18263062216341497,0.18263061828911303,33.922019472122194,0.9994285517930984,0.040493274610489606,0.22204917758703233,0.5977431938052178,0.5570914739370346,0.638521177470684,
bert.encoder.layer.2.attention.output.dense,2,O,sto_round,7,0.10002483315765857,0.12135286085307598,0.02369845684617758,6.406175472736359,0.9998537123203277,0.1584095524996519,0.450414584428072,0.7584548780322075,0.09998628083616495,0.12441431358456612,
