layer_idx,sublayer,bits,QZR_nonzero,WQZR_body,sign_agree_nonzero,raw_cosine_sim,raw_rel_l2_error,trimmed_rel_l2_p90,trimmed_cosine_p90,trimmed_rel_l2_p99,trimmed_cosine_p99,trimmed_rel_l2_p999,trimmed_cosine_p999
8,FFN2,11,0.0013940297242314647,1.5449037391590537e-06,0.9986059702757686,0.9999995231628418,0.0009922796161845326,0.0012902225134894252,0.9999991059303284,0.0010409493697807193,0.9999994039535522,0.001001870259642601,0.9999995231628418
8,FFN2,12,0.00069436595840868,3.777115864522784e-07,0.9993056340415913,1.0,0.0005058344686403871,0.0006369794718921185,0.9999998807907104,0.0005315032321959734,0.9999998807907104,0.0005107020260766149,1.0
8,K,4,0.7178456067782235,0.24521958827972412,0.2821543932217765,0.9637916684150696,0.2685708999633789,0.6188269853591919,0.7745682001113892,0.33407241106033325,0.9435768127441406,0.28372910618782043,0.9593578577041626
8,K,5,0.5318240238088502,0.10319636762142181,0.4681759761911498,0.9895249009132385,0.1426384598016739,0.3502751588821411,0.9272741079330444,0.1787111759185791,0.9831820130348206,0.15092939138412476,0.9881471991539001
8,K,6,0.3600208028620466,0.03862249478697777,0.6399791971379535,0.9971586465835571,0.07367558777332306,0.18766817450523376,0.9772453308105469,0.09272567927837372,0.9953388571739197,0.07804152369499207,0.9967663288116455
8,K,7,0.2238218201804928,0.0129221947863698,0.7761781798195072,0.9992649555206299,0.03731449693441391,0.09705359488725662,0.993424117565155,0.04707023501396179,0.9987802505493164,0.03954911231994629,0.9991607069969177
8,K,8,0.12937129516571877,0.003933879546821117,0.8706287048342812,0.9998139142990112,0.01873713545501232,0.049325574189424515,0.9981675148010254,0.023665569722652435,0.9996892213821411,0.019865209236741066,0.9997871518135071
8,K,9,0.07075293708501167,0.001116275554522872,0.9292470629149884,0.9999533891677856,0.009366940706968307,0.0247777309268713,0.9995210766792297,0.011836342513561249,0.999921977519989,0.00993246491998434,0.999946653842926
8,K,10,0.03710246395023589,0.0002985949395224452,0.9628975360497641,0.9999883770942688,0.00467957928776741,0.012403737753629684,0.9998772144317627,0.005914431065320969,0.9999805092811584,0.004962355829775333,0.9999866485595703
8,K,11,0.01903474592947054,7.751623343210667e-05,0.9809652540705295,0.999997079372406,0.0023393165320158005,0.006201426964253187,0.9999692440032959,0.0029567107558250427,0.9999951720237732,0.0024806270375847816,0.9999966621398926
8,K,12,0.009599707030598073,1.9600545783760026e-05,0.9904002929694019,0.9999992847442627,0.0011681191390380263,0.0030952072702348232,0.9999922513961792,0.0014744715299457312,0.9999988079071045,0.0012386792805045843,0.9999991655349731
8,O,4,0.20517306222047224,0.0340392179787159,0.7948269377795277,0.9889487624168396,0.14799025654792786,0.19332587718963623,0.9813562035560608,0.1553775519132614,0.9878101348876953,0.14954373240470886,0.9886995553970337
8,O,5,0.09677182413212868,0.0075345695950090885,0.9032281758678713,0.9975564479827881,0.06907205283641815,0.09028815478086472,0.9958244562149048,0.07252533733844757,0.9972995519638062,0.06979693472385406,0.9975000619888306
8,O,6,0.04702193139662792,0.0017753404099494219,0.9529780686033721,0.9994263052940369,0.03341381624341011,0.04367488622665405,0.9990170001983643,0.03508441150188446,0.9993656873703003,0.03376451134681702,0.9994129538536072
