layer_idx,sublayer,extra_bit,from_bits,to_bits,marginal_gain
4,V,8,11,12,0.005216204166890938
5,FFN1,1,4,5,0.14128399485863175
5,FFN1,2,5,6,0.19113210908350908
5,FFN1,3,6,7,0.17619115277362896
5,FFN1,4,7,8,0.13651273507261708
5,FFN1,5,8,9,0.09825810197664955
5,FFN1,6,9,10,0.06774796317804563
5,FFN1,7,10,11,0.04537754380466667
5,FFN1,8,11,12,0.03066802357867604
5,FFN2,1,4,5,0.11587988277029472
5,FFN2,2,5,6,0.05309581694240369
5,FFN2,3,6,7,0.025329956552233256
5,FFN2,4,7,8,0.012254722485699353
5,FFN2,5,8,9,0.006110901347926328
5,FFN2,6,9,10,0.0030645452576015314
5,FFN2,7,10,11,0.0015036610497214844
5,FFN2,8,11,12,0.0007614381168558897
5,K,1,4,5,0.20365630420101588
5,K,2,5,6,0.1755790936566618
5,K,3,6,7,0.13265254163206705
5,K,4,7,8,0.08887025993323307
5,K,5,8,9,0.05446078126873305
5,K,6,9,10,0.031175677398174555
5,K,7,10,11,0.016826497306295388
5,K,8,11,12,0.00877633937812577
5,O,1,4,5,0.15562318051662816
5,O,2,5,6,0.07480628355067502
5,O,3,6,7,0.036201946360796815
5,O,4,7,8,0.01768905017482374
5,O,5,8,9,0.00879095505548821
5,O,6,9,10,0.004342176284217631
5,O,7,10,11,0.0021899577082896316
5,O,8,11,12,0.0010275824038573876
5,Q,1,4,5,0.20579022759711568
5,Q,2,5,6,0.15875623875630085
5,Q,3,6,7,0.1128815415378373
5,Q,4,7,8,0.0755298156198251
5,Q,5,8,9,0.048389108136005415
5,Q,6,9,10,0.029117799820604924
5,Q,7,10,11,0.016513556475362276
5,Q,8,11,12,0.008898973132790056
5,V,1,4,5,0.20044118587390986
5,V,2,5,6,0.15398808768245692
5,V,3,6,7,0.10682095436365299
5,V,4,7,8,0.06704816078840549
5,V,5,8,9,0.038743459019732286
5,V,6,9,10,0.021152429840150127
5,V,7,10,11,0.011034267675177957
5,V,8,11,12,0.0056552079921636
6,FFN1,1,4,5,0.137653808981399
6,FFN1,2,5,6,0.1918349695442092
6,FFN1,3,6,7,0.17978787453143463
6,FFN1,4,7,8,0.13976796515280937
6,FFN1,5,8,9,0.10022053527535382
6,FFN1,6,9,10,0.06905576694792118
6,FFN1,7,10,11,0.046295961504560626
6,FFN1,8,11,12,0.030960293560511304
6,FFN2,1,4,5,0.11227368851155795
6,FFN2,2,5,6,0.051382171413416756
6,FFN2,3,6,7,0.02448012405206208
6,FFN2,4,7,8,0.011945324952168164
6,FFN2,5,8,9,0.005902050981383412
6,FFN2,6,9,10,0.002934596099943488
6,FFN2,7,10,11,0.0014616010712699098
6,FFN2,8,11,12,0.0007283274644386782
6,K,1,4,5,0.2061106760017668
6,K,2,5,6,0.18242274775743306
6,K,3,6,7,0.13813629697807658
6,K,4,7,8,0.09229161895263507
6,K,5,8,9,0.05606466761563278
6,K,6,9,10,0.03135367468027402
6,K,7,10,11,0.01658295653917535
6,K,8,11,12,0.008686122730793784
