layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,x_absmax,x_p99,d_absmax,d_p99,BL_mean,BL_p99,BL_hit_ratio,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs
3,FFN2,1.0,0.0,0.0,0.0,0.00022743902518413962,1.0,0.0,0.0,32.48885469436645,0.6545826315879821,0.004310610750690102,0.00015772029000800104,1.0,1.0,0.0,0.134765625,0.05703125,0.04431178376544267,1.0,0.0,0.0,-0.020678293239325286,0.0,0.00044680537102976815,0.5701221585273742,0.9954430474175346,0.0,0.0
3,K,1.0,0.0,0.0,0.0,0.00019884865905623884,1.0,0.0,0.0,14.899017715454102,1.7620707511901856,0.0013218776788562537,3.189011549693532e-05,1.0,1.0,0.0,0.1125,0.0671875,0.07617786787450313,1.0,0.0,0.0,0.0032583877444267275,0.0,0.0007717632834101096,0.674644547700882,0.9937093098958334,0.0,0.0
3,O,1.0,0.0,0.0,0.0,0.0005108393379487097,1.0,0.0,0.0,3.5950976848602294,0.9125716209411621,0.012468793150037526,0.0001935956854140386,1.0,1.0,0.0,0.040234375,0.098046875,0.0762154663912952,1.0,0.0,0.0,-0.0003525551990605891,0.0,0.0007390440325252712,0.7221547037363052,0.993760511610243,0.0,0.0
3,Q,1.0,0.0,0.0,0.0,0.00020757649326696992,1.0,0.0,0.0,14.899017715454102,1.7620707511901856,0.0015119560761377216,2.6712846374721266e-05,1.0,1.0,0.0,0.11484375,0.062109375,0.07912960306275636,1.0,0.0,0.0,0.0195476608350873,0.0,0.0008089612587355077,0.7031506568193435,0.9936482747395834,0.0,0.0
3,V,1.0,0.0,0.0,0.0,0.0005001092213205993,1.0,0.0,0.0,14.899017715454102,1.7620707511901856,0.002168387151323259,7.102951349224895e-05,1.0,1.0,0.0,0.049609375,0.088671875,0.08920978549867868,1.0,0.0,0.0,-0.043264886178076264,0.0,0.0009011907473905012,0.750660851597786,0.9936109754774305,0.0,0.0
4,FFN1,1.0,0.0,0.0,0.0,0.0003105565090663731,1.0,0.0,0.0,102.29459075927734,2.1791813373565674,0.003526067268103361,2.6038275245809926e-05,1.0,1.0,0.0,0.115625,0.106640625,0.02806863427395001,1.0,0.0,0.0,0.0357241207268089,0.0,0.000521144870435819,0.6841465651988983,0.9940924750434028,0.0,0.0
4,FFN2,1.0,0.0,0.0,0.0,0.00024744434049353006,1.0,0.0,0.0,17.751072120666503,0.643118393421173,0.005148750869557262,0.00017013372853398324,1.0,1.0,0.0,0.1328125,0.0609375,0.04696379954693839,1.0,0.0,0.0,0.027499723806977273,0.0,0.0004851068937568925,0.6366364151239395,0.9953920152452257,0.0,0.0
4,K,1.0,0.0,0.0,0.0,0.00021118985605426133,1.0,0.0,0.0,13.226911163330078,1.7607865571975707,0.0016092149075120688,3.665447293315083e-05,1.0,1.0,0.0,0.11875,0.06953125,0.062424102041404694,1.0,0.0,0.0,0.0002896247431635857,0.0,0.0007057931172312238,0.7221547156572342,0.9938178168402778,0.0,0.0
4,O,1.0,0.0,0.0,0.0,0.00048386669950559733,1.0,0.0,0.0,3.468056011199951,0.8640766263008117,0.010370052326470614,0.0002029853785643354,1.0,1.0,0.0,0.047265625,0.092578125,0.08961027120240032,1.0,0.0,0.0,0.01488630622625351,0.0,0.0009448327298741787,0.7696649372577667,0.9935828314887154,0.0,0.0
4,Q,1.0,0.0,0.0,0.0,0.00023396946489810943,1.0,0.0,0.0,13.226911163330078,1.7607865571975707,0.0016674645943567158,2.8276957891648635e-05,1.0,1.0,0.0,0.1140625,0.068359375,0.06781034797895699,1.0,0.0,0.0,0.0213455390650779,0.0,0.0007463418573024682,0.6936486154794693,0.9937127007378471,0.0,0.0
