step,tile_name,subtype,actual_norm,lr,target_norm,residual_norm,cosine_sim,signed_bias,zero_frac,recovery_ratio
2,bert.encoder.layer.3.attention.self.key,key,0.00031597947236150503,0.008,2.302346935323385e-08,0.00018160131003241986,0.021530432626605034,5.943820102771724e-09,1.0,9075.475958642583
2,bert.encoder.layer.3.attention.self.value,value,0.0004014225269202143,0.008,1.235309241565119e-07,0.0002662532788235694,0.017906593158841133,1.5060210856177036e-08,1.0,2155.374967271449
2,bert.encoder.layer.3.attention.output.dense,dense,0.0004010752309113741,0.008,6.337015889812392e-08,0.0002346566179767251,0.022712502628564835,1.0467995359420001e-08,1.0,4058.899024135855
2,bert.encoder.layer.4.attention.self.query,query,0.0003476147830951959,0.008,2.9467837947549924e-08,0.00024658249458298087,0.016101351007819176,7.778484523157658e-09,0.9999932050704956,9439.660260904298
2,bert.encoder.layer.4.attention.self.key,key,0.0003527149383444339,0.008,2.7586599671280965e-08,0.00016964612586889416,0.01105181872844696,4.279338661206111e-09,1.0,7613.541502426774
2,bert.encoder.layer.4.attention.self.value,value,0.000378349213860929,0.008,1.620109060240793e-07,0.00021572079276666045,0.009112339466810226,1.0836000541303292e-08,1.0,1499.4776904600008
2,bert.encoder.layer.4.attention.output.dense,dense,0.0003569443942978978,0.008,5.3355652340769666e-08,0.00017095764633268118,0.012519015930593014,7.23536741631392e-09,1.0,3204.1283702176033
2,bert.encoder.layer.5.attention.self.query,query,0.00037666468415409327,0.008,3.440506901597473e-08,0.00022494883160106838,0.00458370428532362,3.480246535403353e-09,0.9999932050704956,7805.7052652752955
2,bert.encoder.layer.5.attention.self.key,key,0.0003485789056867361,0.008,3.202474374575104e-08,0.00020248102373443544,0.017827864736318588,5.765969035564922e-09,1.0,7625.2246078504895
2,bert.encoder.layer.5.attention.self.value,value,0.00037950649857521057,0.008,1.8835993387256167e-07,0.00017214551917277277,0.0029460906516760588,6.4699645641042025e-09,1.0,913.9203932325044
2,bert.encoder.layer.5.attention.output.dense,dense,0.0004973889444954693,0.008,3.557855876579197e-08,0.00019734651141334325,0.013146663084626198,7.618293551558963e-09,1.0,6463.833214205759
2,bert.encoder.layer.6.attention.self.query,query,0.00036520190769806504,0.008,2.3655593039961786e-08,0.00017393255257047713,0.007692950777709484,2.6942157393960997e-09,1.0,7352.71110944239
2,bert.encoder.layer.6.attention.self.key,key,0.0003421670407988131,0.008,2.2405018285098777e-08,2.2405018285098777e-08,0.0,-3.557031058587512e-11,1.0,6076.472153914753
2,bert.encoder.layer.6.attention.self.value,value,0.00033737908233888447,0.008,2.0772593245510507e-07,0.00013163815310690552,0.003580966731533408,5.365818900315844e-09,1.0,836.9655232427243
2,bert.encoder.layer.6.attention.output.dense,dense,0.00046304191346280277,0.008,4.0434223080865195e-08,0.00023814132146071643,0.0402938537299633,1.285793160832327e-08,1.0,6298.674337782006
2,bert.encoder.layer.7.attention.self.query,query,0.00029860480572097003,0.008,3.2414501305311205e-08,0.00016919941117521375,0.0061728814616799355,2.4205970561297363e-09,1.0,6273.584520429979
2,bert.encoder.layer.7.attention.self.key,key,0.00033711406285874546,0.008,2.9756670016922726e-08,0.00015743945550639182,0.004602872300893068,1.8051744543612358e-09,1.0,5290.901197479679
2,bert.encoder.layer.7.attention.self.value,value,0.0003959560999646783,0.008,2.1601866251330648e-07,0.00020154949743300676,0.004649856127798557,7.774378474323385e-09,1.0,1051.881351193431
2,bert.encoder.layer.7.attention.output.dense,dense,0.0004307293856982142,0.008,6.393204898813565e-08,0.0002594717952888459,0.03144260123372078,1.511309655199966e-08,1.0,4392.8263397185665
2,bert.encoder.layer.8.attention.self.query,query,0.0002961793215945363,0.008,4.205901049658678e-08,4.205901049658678e-08,0.0,-5.5346966593150526e-11,1.0,2803.155085344424
2,bert.encoder.layer.8.attention.self.key,key,0.0004467151884455234,0.008,3.953168814518904e-08,0.0002346043911529705,0.008432873524725437,4.436924161410616e-09,0.9999932050704956,6568.4459271400365
2,bert.encoder.layer.8.attention.self.value,value,0.0004235444066580385,0.008,2.2668517374313524e-07,0.00020539505931083113,0.0035315414424985647,6.577672184704397e-09,1.0,1031.1323171019546
2,bert.encoder.layer.8.attention.output.dense,dense,0.00035244334139861166,0.008,6.662882157115746e-08,0.00012047524069203064,0.008198658935725689,3.896015954296672e-09,1.0,1808.163356696096
2,bert.encoder.layer.9.attention.self.query,query,0.0003499676822684705,0.008,3.7268677033353015e-08,0.00016702791617717594,0.00828870665282011,5.4782316460944e-09,1.0,5514.038620426684
2,bert.encoder.layer.9.attention.self.key,key,0.0003739844833035022,0.008,3.487505750854325e-08,0.00018932099919766188,0.0035938359797000885,3.1877043227268587e-09,0.9999932050704956,6679.728240823369
2,bert.encoder.layer.9.attention.self.value,value,0.00039242685306817293,0.008,1.7947128583273297e-07,0.00017395113536622375,0.002208831487223506,4.545975595959817e-09,1.0,1305.7523148197636
2,bert.encoder.layer.9.attention.output.dense,dense,0.0004035801102872938,0.008,5.652032086800318e-08,0.00021267362171784043,0.013627944514155388,1.001048755000511e-08,1.0,4307.055897722656
2,bert.encoder.layer.10.attention.self.query,query,0.00035005310201086104,0.008,4.452719082337353e-08,0.00017610298527870327,0.004497320856899023,1.6527006430067104e-09,1.0,4845.942500971413
2,bert.encoder.layer.10.attention.self.key,key,0.0003412504738662392,0.008,3.237411760892428e-08,0.00016710199997760355,0.007067396305501461,4.4602850302055685e-09,1.0,5161.599609503601
2,bert.encoder.layer.10.attention.self.value,value,0.00036398987867869437,0.008,1.0110346693181782e-07,0.0001863458164734766,0.003568201093003154,5.351497467387389e-09,1.0,2217.3803560153847
2,bert.encoder.layer.10.attention.output.dense,dense,0.0003715780330821872,0.008,5.4480853606264645e-08,0.00022760724823456258,0.009302233345806599,7.840099236489095e-09,1.0,4864.666434822257
2,bert.encoder.layer.11.attention.self.query,query,0.000410711916629225,0.008,3.2822850215552535e-08,0.00020780952763743699,0.007140700239688158,6.436589927716341e-09,0.9999932050704956,6331.252743237198
2,bert.encoder.layer.11.attention.self.key,key,0.00037424193578772247,0.008,2.3399346460450943e-08,0.000186230507097207,0.0073271021246910095,4.523033059200543e-09,1.0,7958.798423492413
2,bert.encoder.layer.11.attention.self.value,value,0.0004174862406216562,0.008,9.944545809048577e-08,0.0001823554193833843,0.007859403267502785,7.83898990164289e-09,1.0,2183.3485040838245
2,bert.encoder.layer.11.attention.output.dense,dense,0.00020524943829514086,0.008,5.4687443906686894e-08,5.4687443906686894e-08,0.0,-8.678868040901122e-11,1.0,0.0
3,bert.encoder.layer.0.attention.self.query,query,0.00036015696241520345,0.016,5.8963255611388377e-08,0.0002552123332861811,0.018991561606526375,8.274771090555078e-09,1.0,4837.921198318229
3,bert.encoder.layer.0.attention.self.key,key,0.0005218214937485754,0.016,6.379693218150351e-08,0.0002921564446296543,0.010972697287797928,8.95290508395874e-09,0.9999796748161316,4086.8904394213805
3,bert.encoder.layer.0.attention.self.value,value,0.0004570797609630972,0.016,1.371758457935357e-07,0.0001817148004192859,0.011306710541248322,6.871096580596259e-09,1.0,1909.7114002988387
3,bert.encoder.layer.0.attention.output.dense,dense,0.00033393024932593107,0.016,1.2126952242397238e-07,0.00017407070845365524,0.007474290672689676,4.701615541335968e-09,1.0,2287.337569743878
3,bert.encoder.layer.1.attention.self.query,query,0.0004273642844054848,0.016,6.258910190126699e-08,0.0001665382005739957,0.00750138470903039,1.981455888255823e-09,1.0,3447.0812070120173
3,bert.encoder.layer.1.attention.self.key,key,0.0004137580399401486,0.016,5.476494635558993e-08,0.00023664860054850578,0.012478378601372242,8.390291128534955e-09,1.0,4315.327798455945
3,bert.encoder.layer.1.attention.self.value,value,0.0004702458973042667,0.016,2.2333320259804168e-07,0.00024185275833588094,0.01455703191459179,1.0363756963727155e-08,1.0,1396.3267209394492
3,bert.encoder.layer.1.attention.output.dense,dense,0.0004341367748565972,0.016,1.1557496293335134e-07,0.000184749806066975,0.005398707464337349,4.714232115787809e-09,0.9999932050704956,2330.695966160396
3,bert.encoder.layer.2.attention.self.query,query,0.0005265969666652381,0.016,7.158138970453365e-08,0.0002610812953207642,0.010088024660944939,9.07478536760209e-09,0.9999932050704956,4913.617429387777
3,bert.encoder.layer.2.attention.self.key,key,0.0003935270069632679,0.016,6.251788420286175e-08,0.00015660015924368054,0.0031808007042855024,2.694466649799665e-09,1.0,4018.076759699187
3,bert.encoder.layer.2.attention.self.value,value,0.0005086394376121461,0.016,2.638352611938899e-07,0.00024398932873737067,0.009486043825745583,8.776461335457952e-09,1.0,1231.2591593604934
3,bert.encoder.layer.2.attention.output.dense,dense,0.0005408066790550947,0.016,1.5574869394185953e-07,0.0002858091320376843,0.03204329311847687,1.371386915138828e-08,1.0,2603.679075971718
3,bert.encoder.layer.3.attention.self.query,query,0.0003478297730907798,0.016,5.943702419131114e-08,5.943702419131114e-08,0.0,-9.79632208686354e-11,1.0,3364.4404470664695
3,bert.encoder.layer.3.attention.self.key,key,0.00032812959398142993,0.016,5.852180606780166e-08,0.00017024744010996073,0.009100610390305519,2.6686972631750905e-09,1.0,4240.546195891252
3,bert.encoder.layer.3.attention.self.value,value,0.00045872601913288236,0.016,3.414625098230317e-07,0.0002680838224478066,0.010076992213726044,1.321661002862129e-08,0.9999864101409912,1098.7303759614376
3,bert.encoder.layer.3.attention.output.dense,dense,0.0005522967549040914,0.016,1.6454904994134267e-07,0.00029855832690373063,0.016626928001642227,1.6136576519443224e-08,1.0,2289.4300303446475
3,bert.encoder.layer.4.attention.self.query,query,0.00043830470531247556,0.016,1.31681261450467e-07,0.0002373923925915733,0.004436715506017208,4.735356995411166e-09,1.0,2570.9071515089513
3,bert.encoder.layer.4.attention.self.key,key,0.00039607853977940977,0.016,1.3409122345819924e-07,0.00021743803517892957,0.00331628555431962,2.35333730280729e-09,1.0,2134.362214463564
3,bert.encoder.layer.4.attention.self.value,value,0.0005077454261481762,0.016,3.8092818499535497e-07,0.00028434861451387405,0.00956342089921236,1.064908428105582e-08,1.0,991.565064088556
3,bert.encoder.layer.4.attention.output.dense,dense,0.00041257141856476665,0.016,1.5409217724027258e-07,0.00019358593272045255,0.010191972367465496,5.700456107149421e-09,0.9999932050704956,1607.57866193022
3,bert.encoder.layer.5.attention.self.query,query,0.0003146535309497267,0.016,7.914705690836854e-08,0.00012887519551441073,-0.0008856506319716573,5.225988530810355e-10,1.0,3749.0532177755185
3,bert.encoder.layer.5.attention.self.key,key,0.00044621326378546655,0.016,8.009037344436365e-08,0.0002492200874257833,0.009692803025245667,5.850849582600404e-09,0.9999796748161316,4478.697872779764
3,bert.encoder.layer.5.attention.self.value,value,0.00037961380439810455,0.016,4.098028512089513e-07,0.00013765564654022455,0.001812601462006569,2.113107022694294e-09,1.0,554.712535962349
3,bert.encoder.layer.5.attention.output.dense,dense,0.00038404870429076254,0.016,1.2753652356423117e-07,0.00022289578919298947,0.025941846892237663,9.858685423580482e-09,0.9999932050704956,2468.7345751073317
3,bert.encoder.layer.6.attention.self.query,query,0.0004330296942498535,0.016,7.708739957479338e-08,0.00022920459741726518,0.0068641905672848225,6.547752562369169e-09,1.0,3618.465254862489
3,bert.encoder.layer.6.attention.self.key,key,0.0004534934996627271,0.016,7.584026207041461e-08,0.00023164345475379378,0.006085134111344814,5.869407626590828e-09,1.0,3425.0823877775924
3,bert.encoder.layer.6.attention.self.value,value,0.0004943540552631021,0.016,3.942382704735792e-07,0.000210799858905375,0.0038646578323096037,1.0608387945865161e-08,1.0,743.5090436035179
3,bert.encoder.layer.6.attention.output.dense,dense,0.0005178316496312618,0.016,1.2966309270723286e-07,0.0002983338781632483,0.014999739825725555,7.526442580285675e-09,0.9999864101409912,2941.0125318218047
3,bert.encoder.layer.7.attention.self.query,query,0.00040850561344996095,0.016,7.258792322772933e-08,0.00019445166981313378,0.0053924680687487125,3.982965957050055e-09,1.0,3916.1008345120886
3,bert.encoder.layer.7.attention.self.key,key,0.0003454542893450707,0.016,6.725982615307657e-08,0.0002043487038463354,0.008122030645608902,5.19774623342073e-09,1.0,3859.6244282904963
3,bert.encoder.layer.7.attention.self.value,value,0.00044906939729116857,0.016,3.906850167822995e-07,0.00023033969046082348,0.007949059829115868,8.219995351055331e-09,1.0,979.5257740137271
3,bert.encoder.layer.7.attention.output.dense,dense,0.00043951120460405946,0.016,1.648989638169951e-07,0.00022288602485787123,0.010836757719516754,7.182879624423322e-09,1.0,2130.1050935568223
3,bert.encoder.layer.8.attention.self.query,query,0.0004277885891497135,0.016,9.426339175888643e-08,0.00022154816542752087,0.007348510902374983,5.198480756973822e-09,0.9999932050704956,2412.659398692639
3,bert.encoder.layer.8.attention.self.key,key,0.0004017536120954901,0.016,8.787632310713889e-08,0.0002157140988856554,0.013128725811839104,7.409565849769706e-09,0.9999932050704956,3595.9152373126212
3,bert.encoder.layer.8.attention.self.value,value,0.0005706815863959491,0.016,3.783711406413204e-07,0.00021175754955038428,0.005798022262752056,8.701597664639849e-09,1.0,989.2432938961512
3,bert.encoder.layer.8.attention.output.dense,dense,0.0004748260835185647,0.016,1.587395530577851e-07,0.00018113401893060654,0.007615882437676191,8.071517676455642e-09,1.0,1370.3418846784944
3,bert.encoder.layer.9.attention.self.query,query,0.0003875714901369065,0.016,7.110402577836794e-08,0.00017483874398749322,0.0030719612259417772,2.634495510633883e-09,1.0,3343.4540710812075
3,bert.encoder.layer.9.attention.self.key,key,0.0003884815378114581,0.016,6.295133658795748e-08,0.00017032060713972896,0.012353358790278435,3.429836414881038e-09,1.0,4208.251322892493
3,bert.encoder.layer.9.attention.self.value,value,0.0005151479272171855,0.016,3.132120411919459e-07,0.00021601382468361408,0.004715552553534508,5.931902080646978e-09,1.0,1115.2444494038118
3,bert.encoder.layer.9.attention.output.dense,dense,0.0006585943046957254,0.016,1.37756543949763e-07,0.0002839128428604454,0.018742112442851067,1.1459078130826583e-08,1.0,2572.0011274199555
3,bert.encoder.layer.10.attention.self.query,query,0.0003500328748486936,0.016,5.8111790934844976e-08,0.0001953628525370732,0.004524766933172941,3.166632289719473e-09,1.0,4168.50936633257
3,bert.encoder.layer.10.attention.self.key,key,0.0003856697294395417,0.016,4.529442421130625e-08,0.00019608611182775348,0.008976293727755547,4.078575255306305e-09,1.0,4949.266391913423
3,bert.encoder.layer.10.attention.self.value,value,0.0002966576430480927,0.016,2.0086680763142795e-07,2.0086680763142795e-07,0.0,-2.511380825520604e-10,1.0,1249.6222174694835
3,bert.encoder.layer.10.attention.output.dense,dense,0.0005913412314839661,0.016,1.3141729482413211e-07,0.0003636981709860265,0.04851067066192627,2.1323975474274448e-08,0.9999864101409912,3398.6749531534742
3,bert.encoder.layer.11.attention.self.query,query,0.0003749850147869438,0.016,8.256746042434315e-08,0.00018248194828629494,0.004051040858030319,4.215302773502572e-09,1.0,2704.73146425871
3,bert.encoder.layer.11.attention.self.key,key,0.0003923873882740736,0.016,5.8094936861152746e-08,0.00023191087529994547,0.01654444821178913,5.34989608169667e-09,0.9999932050704956,4359.653633452852
3,bert.encoder.layer.11.attention.self.value,value,0.0003606415120884776,0.016,2.1124741067524155e-07,0.00021796656074002385,0.004016379360109568,4.574351564201606e-09,1.0,1370.1687361943061
3,bert.encoder.layer.11.attention.output.dense,dense,0.0003184011729899794,0.016,1.3799878217923833e-07,0.00011412125604692847,0.001765154767781496,7.68773766868236e-10,1.0,731.3791236363683
4,bert.encoder.layer.0.attention.self.query,query,0.0003832436050288379,0.015833333333333335,4.1716372578548544e-08,0.0002296417223988101,0.001219860976561904,2.615643701631143e-09,1.0,4893.0820799603935
4,bert.encoder.layer.0.attention.self.key,key,0.000517550390213728,0.015833333333333335,3.944338544670245e-08,0.00028827704954892397,0.009171908721327782,5.6570783613096864e-09,0.9999864101409912,4579.239207027173
4,bert.encoder.layer.0.attention.self.value,value,0.0005030776956118643,0.015833333333333335,9.781994947388739e-08,0.0002533048391342163,0.005270859692245722,6.053313406084726e-09,1.0,1982.9544057452129
4,bert.encoder.layer.0.attention.output.dense,dense,0.0003243020619265735,0.015833333333333335,1.0202455769103835e-07,0.00020528491586446762,0.0028698386158794165,1.9671260176323813e-09,1.0,2175.781610598983
4,bert.encoder.layer.1.attention.self.query,query,0.0004990703309886158,0.015833333333333335,4.6998380298646225e-08,0.00026647394406609237,0.01350334845483303,8.376243698648977e-09,1.0,4134.323110013814
4,bert.encoder.layer.1.attention.self.key,key,0.0005677231238223612,0.015833333333333335,4.032132849829395e-08,0.0002805918629746884,0.001595028443261981,3.2518252535140846e-09,0.9999864101409912,5200.480060091696
4,bert.encoder.layer.1.attention.self.value,value,0.0005042452830821276,0.015833333333333335,1.6797939395019057e-07,0.00020009660511277616,0.010938252322375774,4.259969710318501e-09,1.0,1321.8277464232829
4,bert.encoder.layer.1.attention.output.dense,dense,0.0005850308225490153,0.015833333333333335,9.513130549976268e-08,0.00021190228289924562,0.005850569345057011,4.4435806145770584e-09,1.0,2277.5315611984697
4,bert.encoder.layer.2.attention.self.query,query,0.0005221230676397681,0.015833333333333335,4.801934139209152e-08,0.00024585245409980416,0.003640764392912388,1.269905736123178e-09,1.0,4952.2956959331605
